1,Category,Keyword,SECockpit ,Google Keyword Planner,"Ahrefs - ""All keyword ideas"" ","Ahrefs - ""Phrase Match"" ","SEMrush - ""Broad Match""","SEMrush - ""Phrase Match""","Moz - ""include a mix of sources""","Ubersuggest - ""related""","KeywordTool.io - ""Keyword Suggestions""","Sixtrix - ""Word Group""","KWFinder - ""related keywords"""
6,Gardening,landscaping,1420,464,406570,403114,767343,263772,1000,60255,1291,11407,579
6,Gardening,landscape design,1144,621,42455,28504,35538,26587,1000,6295,445,1984,540
6,Gardening,garden centre,844,182,37782,8001,53150,47092,1000,8082,1078,1190,666
6,Gardening,gardening tools,2056,1622,6037,3267,16215,2016,1000,900,636,240,624
6,Gardening,plant nursery,1754,1342,33764,18008,26947,18566,1000,3720,752,1186,661
6,Gardening,"All 5 KW entered into search (1,2)",N/A,4147,518520,460818,N/A,N/A,N/A,N/A,N/A,16802,N/A
7,Vacations Travel,travel agency,1195,554,86272,64928,70617,61296,1000,19655,1121,6965,496
7,Vacations Travel,all inclusive resorts,1339,706,82001,39679,48465,31456,1000,11771,826,4122,525
7,Vacations Travel,vacation packages,1211,709,106259,52750,45007,36567,1000,19248,808,4598,538
7,Vacations Travel,cheap vacations,1367,1145,44657,4524,17757,7692,1000,1254,608,475,583
7,Vacations Travel,travel deals,1376,1088,49181,15414,16370,14497,1000,5631,631,992,649
7,Vacations Travel,"All 5 KW entered into search (1,2)",N/A,3449,305640,177203,N/A,N/A,N/A,N/A,N/A,17144,N/A
8,Legal,legal aid,766,326,73499,55473,45987,44703,1000,10114,891,3957,700
8,Legal,law firm,1011,342,294866,289472,276454,224078,1000,35696,1252,11019,700
8,Legal,legal separation,594,99,14505,11141,10094,7075,1000,1532,503,399,660
8,Legal,attorney at law,1257,788,38683,35483,23509,19083,1000,1311,906,2712,614
8,Legal,free legal advice,602,589,15837,6001,5964,5953,1000,1397,613,680,604
8,Legal,"All 5 KW entered into search (1,2)",N/A,1867,434140,397467,N/A,N/A,N/A,N/A,N/A,18731,N/A
9,Office Supplies,office equipment,825,680,17639,9452,8414,7679,1000,1527,686,620,700
9,Office Supplies,stationery online,517,157,33696,717,1434,1426,1000,432,412,120,700
9,Office Supplies,cute office supplies,370,55,2946,145,158,146,1000,24,103,14,700
9,Office Supplies,office furniture,2547,1940,87178,54994,59647,59224,1000,18078,1058,6418,700
9,Office Supplies,office supply store,658,410,10032,3372,4107,1974,1000,250,704,29,700
9,Office Supplies,"All 5 KW entered into search (1,2)",N/A,3180,142765,68674,N/A,N/A,N/A,N/A,N/A,7179,N/A
10,Web Hosting,free web hosting,669,1401,14315,3559,4315,3972,1000,1181,562,287,546
10,Web Hosting,dedicated server,778,665,60702,50602,28980,25485,1000,3763,805,1130,644
10,Web Hosting,best web hosting,648,1246,11931,2368,3358,2902,1000,919,487,179,618
10,Web Hosting,domain name registration,523,835,33962,2053,2103,1943,1000,718,464,82,508
10,Web Hosting,cheap domains,360,217,10757,299,2288,429,1000,81,255,40,553
10,Web Hosting,"All 5 KW entered into search (1,2)",N/A,4067,117673,58866,N/A,N/A,N/A,N/A,N/A,1702,N/A
11,Dating,free dating sites,1088,757,49099,6838,24250,15450,1000,1946,656,528,550
11,Dating,women seeking men,89,243,13098,7788,3844,3527,1000,842,5,9,650
11,Dating,speed dating,772,267,17715,16773,31566,29304,1000,3865,823,1264,700
11,Dating,interracial dating,411,194,8300,5120,3951,3751,1000,920,440,188,700
11,Dating,matrimonial,865,533,24420,23021,47687,15633,1000,5913,997,1008,525
11,Dating,"All 5 KW entered into search (1,2)",N/A,1985,110858,59535,N/A,N/A,N/A,N/A,N/A,2988,N/A
12,Wedding,wedding cakes,1155,928,35360,31459,94548,25475,1000,7030,849,1576,616
12,Wedding,wedding invitations,1423,716,71946,55974,90872,41568,1000,14621,768,3004,541
12,Wedding,wedding planner,1033,333,42023,34420,36523,28913,1000,8859,1055,2373,561
12,Wedding,bridal dresses,2010,1390,39276,7634,25032,12729,1000,2490,761,636,534
12,Wedding,veil,1199,339,166008,163971,119340,96817,1000,14198,1361,4204,577
12,Wedding,"All 5 KW entered into search (1,2)",N/A,3702,354132,293445,N/A,N/A,N/A,N/A,N/A,11793,N/A
13,Automotive,automatic cars,1048,600,11634,3726,27619,9603,1000,1960,856,685,528
13,Automotive,motor car,1380,717,43488,7871,18265,18265,1000,1247,1098,997,390
13,Automotive,sale car,3153,2373,293908,5811,453534,113664,1000,526,1226,6566,508
13,Automotive,automotive technician,504,200,8834,4396,3950,3607,1000,669,600,281,700
13,Automotive,dealer,1383,456,1052918,1037053,1246425,642171,1000,152426,1351,21625,241
13,Automotive,"All 5 KW entered into search (1,2)",N/A,4234,1404235,1058743,N/A,N/A,N/A,N/A,N/A,30133,N/A
14,Retail,what is retail,552,184,17705,2370,8567,7505,1000,315,768,N/A,477
14,Retail,retail marketing,441,293,7453,2985,11410,4126,1000,817,536,334,585
14,Retail,promo code,3007,2139,908287,855277,860316,758291,1000,184168,1366,50050,552
14,Retail,voucher codes,1125,1546,11707,8562,62541,15422,1000,4487,967,514,599
14,Retail,retail trade,520,22,5067,1352,2652,1662,1000,218,495,154,490
14,Retail,"All 5 KW entered into search (1,2)",N/A,4144,946559,870503,N/A,N/A,N/A,N/A,N/A,51052,N/A
15,Solar Energy,solar panels,1841,916,168715,155362,185332,86195,1000,21147,1173,5339,607
15,Solar Energy,solar battery charger,778,797,12707,3223,5377,5017,1000,634,676,328,558
15,Solar Energy,solar panel price,948,1096,11032,1753,4710,3171,1000,1058,806,273,498
15,Solar Energy,free energy,759,578,59682,46123,29545,28911,1000,2987,805,982,700
15,Solar Energy,sunpower,679,388,16317,16317,9473,9212,1000,1631,861,508,700
15,Solar Energy,"All 5 KW entered into search (1,2)",N/A,3572,261936,219194,N/A,N/A,N/A,N/A,N/A,7371,N/A
