Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
men looking for women,EUR,1300,Medium,62,0.53,1.35,,,,,,1300,1300,1000,1000,1300,1300,1300,1300,1300,1000,1300,1000
dating chat rooms,EUR,1900,High,69,0.73,1.85,,,,,,1900,1900,1600,1600,1900,1900,1900,1900,1900,1600,1600,1600
speeddate,EUR,1000,Medium,66,0.49,1.55,,,,,,1000,1000,1000,1300,1300,1300,1000,1000,1000,880,1000,880
interracial match,EUR,1600,Low,4,0.23,0.31,,,,,,1600,1300,1600,1600,2400,2400,2900,2400,1900,1300,1000,720
free local dating sites,EUR,2400,High,92,1.08,2.09,,,,,,2400,2400,1900,1900,1900,2400,2900,2900,2400,2400,2400,1900
zoosk free,EUR,1300,Low,31,0.49,1.6,,,,,,1000,1300,1600,1600,1300,1000,1300,1600,1300,880,1000,1300
black singles,EUR,1900,Medium,67,0.75,2.1,,,,,,1900,2400,1600,1600,1900,1600,1600,1600,2900,2400,1600,1600
top completely free dating sites,EUR,1300,Medium,54,0.89,2.87,,,,,,5400,5400,1900,1600,1000,70,480,390,320,170,40,30
free gay dating sites,EUR,1900,High,86,0.75,1.6,,,,,,1900,1900,1900,1900,1900,1600,1900,1600,1900,1900,1600,1600
swirl dating,EUR,1600,Low,23,0.18,0.72,,,,,,1900,2400,1300,1900,1600,1300,1300,1900,1300,1300,1600,1300
iyer matrimony,EUR,720,Low,7,0.36,1.11,,,,,,720,720,720,720,720,590,720,590,590,720,720,720
pof free search,EUR,1900,Low,22,0.36,1.8,,,,,,1300,2400,1300,1300,880,1600,2900,2900,2900,2400,1900,720
free dating sites for men,EUR,1300,High,95,0.99,2.99,,,,,,720,2400,2400,480,880,1000,1900,2400,720,590,1600,1900
free dating sites for seniors,EUR,2400,High,93,1.57,3.68,,,,,,1300,1900,2400,1600,1900,2400,2400,2900,2900,2900,2400,2400
find hidden dating profiles free,EUR,1300,High,72,0.75,2.62,,,,,,720,1000,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300
completely free dating sites,EUR,1000,High,80,0.96,2.04,,,,,,1900,1900,1600,1600,1300,720,720,720,590,590,720,590
men looking for men craigslist,EUR,1000,Low,17,0.41,1.64,,,,,,1300,590,480,480,880,1300,1300,1000,1000,1300,1600,1300
best sites to meet people,EUR,1000,High,78,1.09,2.03,,,,,,90,70,1600,90,50,1300,720,2400,5400,590,110,390
free local dating,EUR,1300,High,92,0.76,1.71,,,,,,1600,1300,1000,1600,1600,1600,1300,1000,1300,1300,1000,1000
free inmate dating sites,EUR,1300,Medium,41,0.56,1.8,,,,,,1900,1600,1000,720,720,1300,1300,1000,1900,1600,880,1000
pure matrimony,EUR,590,Low,12,0.28,0.36,,,,,,590,590,590,590,480,480,720,590,480,390,480,590
mingle2 dating site,EUR,720,Low,24,0.83,2.63,,,,,,1300,720,320,480,880,720,880,1300,1300,590,390,390
girlsdateforfree,EUR,880,Low,17,0.75,1.67,,,,,,1000,1000,880,880,880,1000,880,1000,720,720,880,1300
older women looking for younger men,EUR,1900,High,75,0.62,1.43,,,,,,1900,1900,1600,1600,1900,1900,1600,1900,1600,1900,1900,1600
women seeking older men,EUR,880,Medium,58,0.56,1.91,,,,,,260,260,260,390,720,1300,1000,1300,1300,1000,1300,1300
free senior dating sites online,EUR,1000,High,89,1.05,2.64,,,,,,880,1000,720,1000,880,1000,1000,1300,1300,1300,880,590
black singles meet,EUR,1600,Medium,54,0.85,2.71,,,,,,1600,1600,1900,1300,1300,1300,1300,1300,1900,1600,1600,1300
speed dating events,EUR,880,Low,25,1.48,2.9,,,,,,720,1000,1000,880,880,880,880,880,880,1000,1000,880
100 percent free online dating sites,EUR,880,High,82,0.86,2.03,,,,,,590,590,480,480,390,720,880,1000,880,1000,1300,1000
dating sites for free no membership,EUR,880,High,79,0.8,2.28,,,,,,390,320,260,210,390,590,720,880,1300,1000,1900,1900
best free christian dating sites,EUR,880,High,79,0.88,2.77,,,,,,720,880,720,880,880,880,1000,880,880,880,880,720
free hookup sites no credit card,EUR,1300,High,93,0.85,1.82,,,,,,320,320,320,320,1600,3600,1600,1000,1000,1000,1000,1900
mingle2 sign up,EUR,590,Low,6,0.61,2.18,,,,,,880,880,590,720,480,480,480,480,480,480,720,880
matrimony sites,EUR,480,Medium,50,0.9,2.29,,,,,,480,480,480,480,480,480,480,480,390,390,390,320
women seeking men near me,EUR,720,Medium,44,0.48,1.58,,,,,,1300,1300,880,720,720,720,590,720,590,590,590,590
absolutely free dating sites,EUR,1000,High,88,1.08,2.01,,,,,,880,1000,1000,1300,1000,1000,1000,1000,1000,880,720,880
black dating for free,EUR,1300,Low,18,0.82,1.78,,,,,,1300,1600,1000,1000,1300,1000,1300,1300,1000,1000,880,1000
free gay dating,EUR,880,High,90,0.87,1.53,,,,,,1000,1000,880,880,880,880,720,880,880,720,720,720
free dating sites no hidden fees,EUR,720,High,83,0.67,1.68,,,,,,390,390,480,390,390,880,720,1000,1300,880,720,720
100 free hookup sites,EUR,1000,High,87,0.66,1.2,,,,,,1900,1900,1300,1000,1300,1300,1300,880,880,590,720,720
meet singles near me for free,EUR,880,High,85,0.87,1.77,,,,,,880,880,720,880,720,720,1300,1000,880,590,590,720
iyengar matrimony,EUR,390,Low,9,0.41,0.8,,,,,,260,390,390,320,390,390,480,390,390,590,390,390
gujarati matrimony,EUR,480,Low,15,0.33,0.66,,,,,,390,480,480,480,390,390,480,390,390,390,480,480
muslim marriage site,EUR,590,High,86,1.03,3.49,,,,,,590,590,720,720,480,590,590,590,590,590,480,480
meet singles for free,EUR,880,High,89,1.27,2.61,,,,,,1000,1300,720,880,720,720,880,720,880,590,590,590
top free dating sites,EUR,720,High,70,1.09,2.62,,,,,,880,1000,880,880,720,880,720,880,720,720,720,590
best free senior dating sites,EUR,720,High,90,1.21,2.4,,,,,,590,480,720,720,590,880,720,880,880,1000,880,880
totally free online dating sites over 50,EUR,720,High,92,1.29,3.45,,,,,,1000,1000,720,720,880,720,720,720,590,590,590,590
free international dating site,EUR,720,High,81,2.02,5.12,,,,,,590,390,260,320,320,480,720,1000,1300,1300,1000,1000
free dating sites without payment,EUR,480,High,74,1.15,2.56,,,,,,880,1600,880,880,480,260,210,210,170,140,140,140
free lesbian dating sites,EUR,1000,High,84,0.8,2.12,,,,,,1300,1300,1300,1300,1600,1300,1000,1000,1000,880,880,720
interracial cupid dating site,EUR,590,Low,2,1.12,2.52,,,,,,1600,1300,880,720,480,390,170,170,170,90,140,90
women looking for men craigslist,EUR,1300,Low,33,0.21,0.93,,,,,,2400,2400,1000,1900,1600,880,720,720,880,720,720,720
dating sites for over 50 free,EUR,1000,High,95,2.09,3.92,,,,,,1300,1600,1000,1000,1000,1000,1000,1000,1300,1000,590,480
free dating chat,EUR,590,High,82,0.71,1.68,,,,,,880,720,590,590,590,590,590,480,720,590,590,590
speed dating events near me,EUR,720,Low,26,0.86,3.02,,,,,,480,720,880,720,590,720,720,880,720,880,880,720
mingle2mingle,EUR,590,Low,5,0.86,4.01,,,,,,880,1300,720,880,880,480,390,320,390,320,260,390
local black singles,EUR,590,High,75,0.5,1.29,,,,,,480,590,390,590,880,590,590,720,720,720,720,880
interracial central,EUR,720,Low,0,,,,,,,,170,170,210,320,390,390,1000,1000,880,1000,1000,1600
eharmony free,EUR,720,Medium,49,0.97,5.85,,,,,,880,1000,720,720,590,590,590,590,720,590,720,720
white women looking for black men,EUR,720,High,75,0.34,1.27,,,,,,1000,880,720,590,590,720,720,720,720,720,590,590
free interracial dating sites,EUR,1000,High,72,0.91,2.5,,,,,,880,720,720,880,1000,1300,1000,1600,1300,1000,1300,1300
free local singles,EUR,590,Medium,62,0.8,1.83,,,,,,590,1000,590,590,590,480,880,390,480,260,480,590
dating sites free chat,EUR,880,High,87,0.87,2.08,,,,,,720,720,590,720,880,880,720,1000,1000,880,720,720
plenty of fish free dating site,EUR,720,Medium,55,0.55,1.66,,,,,,1900,590,140,260,210,390,390,590,480,390,1300,1900
marriage websites,EUR,390,High,73,1.16,3.07,,,,,,390,480,480,390,480,390,390,480,320,390,480,390
best gay hookup sites,EUR,880,High,72,0.76,4.5,,,,,,1000,880,880,880,880,880,880,1000,880,880,880,880
ss matrimony,EUR,260,Low,0,,,,,,,,140,170,260,260,210,260,210,320,260,320,320,170
free messaging dating sites,EUR,880,High,83,0.8,1.94,,,,,,1000,1300,1000,1000,880,720,880,1000,1000,720,720,720
100 totally free dating sites,EUR,590,High,80,0.68,1.86,,,,,,390,320,320,390,480,720,590,720,720,720,720,480
best free dating websites,EUR,880,High,67,1.2,2.64,,,,,,1000,1000,720,880,880,880,590,720,720,720,720,720
free single sites,EUR,1000,High,95,1.18,2.46,,,,,,1600,1600,1000,1300,1000,1000,880,720,1000,1000,590,590
marriage sites,EUR,320,High,79,0.98,3.24,,,,,,320,390,260,320,320,320,390,320,320,320,320,260
dating events near me,EUR,590,Medium,45,1.58,4.71,,,,,,390,480,480,480,590,590,590,590,590,590,720,590
free bbw dating,EUR,720,High,78,0.61,1.56,,,,,,880,880,720,720,720,720,720,720,720,480,590,590
free dating service,EUR,720,High,88,1.04,2.25,,,,,,1000,1000,720,720,880,720,720,720,720,590,720,720
free international dating sites for marriage,EUR,390,High,77,1.87,5.03,,,,,,210,140,140,170,390,390,720,880,590,320,320,210
punjabi matrimony,EUR,260,Low,15,0.5,1.28,,,,,,320,320,320,320,210,210,210,260,260,260,260,260
free single dating sites,EUR,1000,High,74,1.35,2.66,,,,,,1000,1300,880,1000,1300,1300,1000,1000,1300,1300,880,1000
christian singles events,EUR,590,High,71,1.09,2.43,,,,,,390,720,720,720,590,720,720,720,480,590,590,480
eharmony free weekend,EUR,590,Medium,38,0.65,4.14,,,,,,480,720,590,390,390,590,590,720,720,480,590,720
community matrimony,EUR,210,Low,1,,,,,,,,320,320,260,170,170,140,140,140,210,170,140,170
supertova,EUR,480,Low,2,0.8,1.93,,,,,,260,320,590,590,720,590,390,590,720,390,320,320
palkar matrimony,EUR,210,Low,0,,,,,,,,260,210,320,170,140,210,210,170,140,110,170,210
sites like pof,EUR,590,Medium,39,0.65,1.5,,,,,,720,720,590,590,590,590,480,480,480,480,390,480
deaf dating site,EUR,590,Medium,66,0.49,1.38,,,,,,590,590,590,590,590,480,480,480,480,590,590,480
interracialdatingcentral dating,EUR,590,Low,8,0.02,0.69,,,,,,260,110,260,390,720,390,320,390,590,1000,720,1300
no credit card hookup sites,EUR,880,High,95,0.78,1.57,,,,,,590,480,480,480,880,1900,1000,720,720,720,720,1000
isna matrimonial,EUR,480,Low,7,1.12,1.54,,,,,,590,720,590,590,480,390,480,590,480,480,320,320
best free dating,EUR,480,Medium,61,0.94,3.16,,,,,,260,320,2400,260,260,260,320,320,260,260,260,260
free russian personals,EUR,260,Low,14,2.97,5.05,,,,,,210,320,260,320,320,390,390,170,210,170,210,210
meet local singles your area free,EUR,480,High,88,1.01,1.73,,,,,,390,390,390,480,390,480,480,720,720,590,480,390
dating events,EUR,390,Medium,34,1.18,3.69,,,,,,320,480,390,480,390,390,320,390,390,390,480,390
older women seeking younger men,EUR,720,High,67,0.65,1.41,,,,,,720,720,590,720,720,720,720,880,720,880,720,720
free bbw dating sites,EUR,880,High,80,0.73,1.62,,,,,,1000,1000,720,880,880,880,720,880,880,720,720,720
free black dating sites,EUR,880,High,87,0.92,1.86,,,,,,1300,720,880,590,720,880,880,880,880,880,880,720
free lesbian dating websites,EUR,590,High,84,0.88,2.34,,,,,,140,140,260,390,590,1300,1000,720,480,720,590,480
list of free dating sites,EUR,480,High,78,0.84,1.88,,,,,,320,390,390,390,390,390,1000,590,390,480,390,320
mycheekydate,EUR,480,Low,0,1.6,4.99,,,,,,320,480,480,480,480,480,480,480,480,590,480,590
free cougar dating sites,EUR,720,High,72,0.74,1.7,,,,,,1600,880,880,880,720,720,720,720,720,590,480,590
interracial dating website,EUR,720,Medium,61,0.77,2.4,,,,,,480,480,590,320,320,480,480,590,880,880,1000,1300
hispanic dating sites,EUR,720,High,82,1.42,5.14,,,,,,880,1000,880,880,720,720,720,720,720,720,720,720
jain matrimony,EUR,210,Low,9,1.13,1.14,,,,,,210,170,260,210,170,170,170,260,170,210,170,170
black women seeking white men,EUR,720,High,73,0.41,1.64,,,,,,720,720,590,590,590,590,590,880,720,720,720,590
completely free dating sites no subscription,EUR,320,High,83,0.78,2.09,,,,,,480,260,260,260,320,320,320,480,390,390,320,260
younger women looking for older men,EUR,720,Medium,56,0.54,1.57,,,,,,880,880,590,720,590,720,880,720,720,720,720,720
pof free dating,EUR,260,Medium,34,0.52,1.86,,,,,,1000,320,110,140,140,140,170,390,260,90,260,210
afroromance black and white dating,EUR,260,Low,29,0.5,1.12,,,,,,30,720,880,590,320,40,70,50,210,480,50,50
free cougar dating,EUR,590,Medium,66,0.58,1.4,,,,,,590,590,480,590,590,590,590,480,480,480,480,390
telugu bride,EUR,260,Low,1,,,,,,,,210,210,210,210,170,210,260,320,390,390,390,320
sangam matrimony,EUR,170,Low,3,0.82,1.49,,,,,,90,50,70,70,90,110,140,140,480,210,320,320
angelreturn dating site,EUR,480,Low,2,1.06,2.7,,,,,,70,110,720,1300,720,390,170,70,50,110,480,1000
shaadi matrimony,EUR,210,Low,19,1.6,9.8,,,,,,170,170,170,170,210,210,140,260,210,210,210,210
free gay dating sites for serious relationships,EUR,320,High,68,1.03,1.81,,,,,,880,720,720,880,480,40,20,20,10,10,10,10
free dating sites for plus size ladies,EUR,390,High,86,0.85,1.84,,,,,,320,480,390,590,480,390,390,390,390,480,320,260
best free online dating website,EUR,390,High,74,0.94,2.56,,,,,,260,170,210,720,720,590,720,480,140,110,90,70
new free dating site without any payment,EUR,260,High,67,1.08,3.15,,,,,,590,880,720,720,390,10,10,10,10,10,20,10
new free dating site,EUR,480,High,84,1.09,2.52,,,,,,480,590,590,480,390,480,480,480,480,390,480,480
completely free dating sites no hidden fees,EUR,260,Low,19,,,,,,,,590,590,590,590,480,10,10,10,10,10,10,10
free dating sites for serious relationships,EUR,260,Medium,55,1.11,3.26,,,,,,140,210,110,260,170,260,260,720,260,320,170,110
free military dating sites,EUR,480,High,70,0.81,2.55,,,,,,880,720,390,390,720,590,390,390,390,320,480,480
fast dating,EUR,320,Medium,46,0.51,2.13,,,,,,260,320,260,260,320,390,390,260,320,320,390,320
best disabled dating sites,EUR,320,Medium,65,0.54,1.91,,,,,,390,480,320,390,320,320,390,320,390,260,260,260
second shaadi,EUR,140,Low,7,0.48,0.63,,,,,,90,70,110,110,170,170,170,210,210,170,110,90
arab dating site,EUR,390,Medium,62,1.15,4.5,,,,,,320,390,320,390,390,480,390,480,590,480,590,390
free online dating website,EUR,590,High,85,1.46,2.99,,,,,,880,880,720,720,480,390,390,480,480,480,390,320
matrimonial websites,EUR,140,Medium,51,0.95,3.07,,,,,,170,210,170,170,140,110,140,140,140,140,140,140
goth dating site,EUR,590,Low,27,0.35,1.6,,,,,,880,1000,720,720,590,390,320,480,480,480,590,390
connecting singles mobile,EUR,260,Low,3,0.76,1.83,,,,,,390,210,260,170,210,260,140,110,320,320,320,260
knanaya matrimony,EUR,170,Low,1,,,,,,,,170,140,110,110,90,170,170,170,170,170,210,320
meet locals free,EUR,480,High,84,0.67,1.74,,,,,,390,320,320,480,320,390,590,720,480,320,390,590
online speed dating,EUR,390,High,68,0.81,2.49,,,,,,390,590,590,590,480,480,390,390,320,260,320,260
totally free hookup sites no card,EUR,390,High,92,0.76,1.56,,,,,,90,110,170,140,210,590,720,720,590,390,480,390
tamil bride,EUR,170,Low,1,,,,,,,,110,140,110,110,110,110,170,260,260,260,210,210
meet girls online free,EUR,320,High,79,0.78,1.92,,,,,,390,590,720,880,590,110,140,170,110,110,110,110
free online dating chat,EUR,390,High,82,1.05,2.03,,,,,,260,320,390,260,260,390,320,390,480,480,390,320
free disabled dating sites,EUR,390,High,73,0.56,1.97,,,,,,390,390,390,480,390,480,480,590,390,390,390,320
nri matrimony,EUR,260,Low,25,0.51,1.65,,,,,,170,260,210,210,140,170,170,170,320,260,320,390
totally free dating,EUR,170,High,85,0.68,1.83,,,,,,210,210,170,140,170,140,170,140,170,210,210,210
pre dating speed dating,EUR,480,Low,22,0.69,2.58,,,,,,320,590,480,590,480,480,590,590,590,480,480,480
mingle2 registration,EUR,210,Low,6,0.41,1.24,,,,,,170,170,210,170,260,140,170,260,210,170,260,390
free dating chat rooms,EUR,390,High,77,0.76,1.71,,,,,,480,390,480,260,260,320,390,390,390,480,320,320
singles near me free,EUR,390,High,91,0.98,2.01,,,,,,390,210,140,170,320,480,720,590,320,320,390,590
rajput matrimony,EUR,140,Low,6,0.32,0.41,,,,,,140,170,110,110,110,140,170,110,170,140,110,90
free dating site no credit card,EUR,480,High,90,1.11,2.59,,,,,,320,480,480,390,480,590,880,480,390,390,590,480
100 free dating site in the world,EUR,210,High,69,0.9,2.37,,,,,,170,170,210,90,110,170,170,320,260,260,320,260
gay speed dating,EUR,260,Low,6,0.67,1.68,,,,,,210,320,320,260,210,260,260,320,320,260,320,260
imarriages,EUR,110,Low,13,0.37,0.59,,,,,,110,140,140,110,140,90,90,90,110,140,140,90
pilipinalove,EUR,210,Low,9,1.64,4.94,,,,,,170,260,210,390,170,110,210,140,140,30,40,390
interracial dating near me,EUR,320,High,80,0.51,1.76,,,,,,30,260,260,260,260,210,260,590,590,390,390,480
marriage beuro,EUR,110,Low,14,0.69,1.88,,,,,,90,140,110,90,90,90,110,110,90,90,110,90
free dating sites near me,EUR,390,High,94,1.03,2.17,,,,,,1000,480,260,480,260,260,390,320,390,390,390,390
free username search dating sites,EUR,320,Medium,55,0.73,1.97,,,,,,110,260,260,320,210,260,320,320,390,590,480,480
bengali shaadi,EUR,140,Low,4,0.25,0.25,,,,,,210,260,320,170,140,90,70,50,50,110,50,70
totally free dating websites,EUR,320,High,90,0.8,2.36,,,,,,170,260,140,140,320,320,390,880,390,210,140,720
craigslist men looking for women,EUR,590,Low,17,0.22,1.08,,,,,,880,720,720,880,390,480,390,390,390,320,320,390
free senior dating,EUR,390,High,90,1.36,2.98,,,,,,720,720,590,720,390,320,260,320,260,260,260,260
rich women looking for men,EUR,260,Medium,57,0.19,1.53,,,,,,320,320,260,260,170,320,210,320,260,260,170,170
free millionaire dating sites,EUR,320,Medium,55,0.85,2.12,,,,,,210,320,170,210,260,320,320,320,390,390,390,390
free dating sites mingle2,EUR,390,Medium,47,0.67,1.89,,,,,,210,480,720,480,590,480,590,590,70,20,50,20
flirt chat rooms,EUR,320,Medium,46,0.5,1.5,,,,,,390,390,320,320,320,390,320,390,320,320,320,320
black women married to white men,EUR,590,Low,11,0.19,2.04,,,,,,390,480,480,480,480,480,480,720,880,720,720,720
completely free dating,EUR,90,High,71,0.7,1.61,,,,,,110,110,110,90,90,70,70,70,70,70,90,70
mingle2 dating,EUR,170,Low,31,0.69,1.74,,,,,,210,140,210,260,260,170,170,140,140,90,90,70
chat with local singles,EUR,480,High,84,0.92,1.92,,,,,,880,390,390,590,720,390,320,480,390,320,320,320
single women looking for men,EUR,320,High,71,0.43,1.93,,,,,,480,260,260,210,210,320,320,320,320,260,320,260
lesbian speed dating,EUR,260,Low,18,0.8,1.78,,,,,,210,320,260,260,210,260,260,320,320,260,260,260
white women seeking black men,EUR,390,High,70,0.33,1.58,,,,,,390,390,320,320,390,320,320,390,320,320,390,320
christian speed dating,EUR,260,Medium,46,1.22,2.77,,,,,,210,260,260,210,210,210,210,260,260,260,260,210
black singles over 50,EUR,320,High,95,1.38,2.67,,,,,,320,390,320,320,210,260,260,260,320,320,320,260
tamil shaadi,EUR,90,Low,6,0.25,0.25,,,,,,70,110,140,140,90,70,70,70,50,90,70,90
female looking for male craigslist,EUR,260,Medium,47,0.21,0.74,,,,,,90,140,110,170,210,260,260,320,480,320,480,480
free online personals,EUR,320,Medium,56,0.44,1.41,,,,,,590,590,390,480,320,260,210,260,260,210,210,170
women looking for older men,EUR,260,Medium,58,0.54,1.47,,,,,,320,260,260,260,260,260,260,320,260,260,260,320
lavalife chat line,EUR,320,Low,17,0.31,1.07,,,,,,480,590,720,480,320,210,260,210,210,260,210,110
black singles near me,EUR,320,High,86,0.75,1.58,,,,,,260,210,210,210,260,390,320,390,480,260,210,320
completely free online dating site,EUR,260,High,90,0.99,2.09,,,,,,320,320,260,260,260,260,260,320,260,260,170,170
singles mixers near me,EUR,480,Medium,48,1.01,2.34,,,,,,390,720,480,480,480,390,480,390,480,390,390,480
speed dating near me tonight,EUR,320,Medium,39,0.61,1.62,,,,,,140,210,320,320,260,260,320,390,390,320,320,320
zoosk free search,EUR,320,Medium,43,0.18,1.03,,,,,,260,390,590,480,590,170,320,320,390,140,90,110
black christian dating for free,EUR,320,Low,27,0.74,1.76,,,,,,320,390,480,480,320,320,320,260,210,170,210,260
interracial central dating site,EUR,260,Low,7,0.06,2.52,,,,,,210,110,210,260,170,480,390,210,260,390,260,90
muslim marriage website,EUR,210,High,67,1.13,3.6,,,,,,170,260,210,170,170,140,210,320,170,140,210,170
all free dating site,EUR,320,High,88,1.07,2.08,,,,,,390,390,320,320,320,320,390,320,320,260,320,260
free mature dating for over 50s singles,EUR,170,High,97,1.34,2.54,,,,,,170,210,210,170,140,90,320,320,170,90,90,70
free lesbian dating,EUR,320,High,86,0.76,1.88,,,,,,390,390,320,320,390,320,260,260,210,260,210,210
deepika matrimony,EUR,110,Low,0,,,,,,,,90,140,90,30,30,70,90,110,210,140,140,110
free local dating sites near me,EUR,260,High,90,0.91,2.06,,,,,,110,110,110,110,140,260,210,390,480,480,320,260
zoosk browse free,EUR,320,Low,26,0.09,0.94,,,,,,170,170,480,590,720,210,390,480,390,260,210,110
military singles chat rooms,EUR,210,Medium,65,0.55,1.91,,,,,,170,170,170,210,170,210,210,260,260,170,260,320
free widow dating site,EUR,210,High,96,0.88,2.79,,,,,,170,210,140,170,210,170,170,260,260,260,320,320
good free dating sites,EUR,320,High,75,1.31,3.17,,,,,,320,390,390,390,320,320,320,390,320,320,320,320
siasat matrimony,EUR,90,Low,17,1.12,1.51,,,,,,110,90,90,110,110,70,90,90,110,140,90,70
free chinese dating sites,EUR,210,High,83,0.99,6.17,,,,,,210,260,260,480,480,210,140,170,140,140,140,170
free internet dating sites,EUR,90,High,70,1.43,3.14,,,,,,90,110,50,90,90,90,90,90,50,70,70,90
datehookup dating site,EUR,260,High,97,0.68,2.13,,,,,,210,140,210,110,140,140,480,210,320,110,480,720
