Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
used car dealerships near me,EUR,201000,Medium,58,2.01,6.53,,,,,,135000,201000,246000,301000,201000,201000,246000,246000,246000,201000,201000,201000
honda dealership near me,EUR,246000,Medium,38,2.22,7.42,,,,,,165000,201000,201000,246000,201000,246000,246000,301000,301000,246000,246000,246000
toyota dealership near me,EUR,246000,Medium,39,2.27,7.64,,,,,,165000,165000,165000,246000,165000,246000,246000,301000,301000,246000,301000,246000
nissan 350z,EUR,110000,Medium,54,0.31,1.75,,,,,,60500,74000,74000,90500,90500,90500,90500,110000,135000,135000,135000,110000
kia dealership,EUR,165000,Medium,42,1.76,8.09,,,,,,135000,135000,135000,165000,165000,201000,201000,201000,201000,201000,201000,165000
used cars for sale near me,EUR,135000,High,87,1.58,5.29,,,,,,90500,110000,135000,165000,135000,135000,165000,165000,165000,135000,135000,110000
used car dealerships,EUR,165000,Medium,48,1.8,6.08,,,,,,201000,165000,165000,165000,201000,201000,165000,165000,201000,165000,165000,135000
chevrolet dealer,EUR,201000,Medium,44,1.85,6.3,,,,,,135000,165000,201000,201000,165000,201000,201000,246000,201000,201000,201000,165000
classic cars for sale,EUR,110000,High,73,0.1,1.25,,,,,,74000,90500,90500,110000,90500,110000,110000,110000,110000,110000,110000,90500
hyundai dealership,EUR,165000,Medium,34,1.53,6.16,,,,,,135000,135000,135000,165000,135000,165000,165000,201000,201000,201000,201000,135000
jeep wrangler for sale,EUR,110000,High,96,1.15,7.45,,,,,,74000,90500,110000,135000,135000,135000,135000,135000,135000,110000,90500,90500
chevy dealer near me,EUR,201000,Medium,51,2.25,7.64,,,,,,201000,165000,201000,246000,165000,201000,201000,246000,246000,201000,246000,246000
jeep patriot,EUR,90500,Low,15,0.59,1.77,,,,,,60500,74000,74000,74000,74000,74000,74000,110000,110000,90500,90500,90500
jeep dealership near me,EUR,165000,Medium,51,3.66,7.65,,,,,,90500,110000,165000,165000,165000,201000,201000,246000,246000,201000,201000,165000
carfax used cars,EUR,110000,Medium,37,0.58,2.42,,,,,,165000,246000,201000,201000,49500,40500,90500,110000,49500,40500,40500,33100
mazda dealership,EUR,110000,Medium,38,2.95,8.27,,,,,,110000,110000,110000,135000,110000,135000,135000,135000,135000,135000,135000,110000
craigslist cars,EUR,110000,Low,13,0.47,2.19,,,,,,110000,135000,135000,135000,135000,110000,110000,110000,110000,90500,90500,90500
buy here pay here near me,EUR,90500,Medium,60,1.52,6.3,,,,,,60500,74000,110000,135000,90500,90500,90500,90500,110000,110000,90500,90500
dodge dealership near me,EUR,165000,Medium,49,3.97,8.73,,,,,,110000,135000,165000,165000,135000,165000,165000,201000,201000,201000,201000,165000
carmax near me,EUR,90500,Low,27,0.31,3.68,,,,,,74000,74000,74000,90500,90500,90500,110000,110000,110000,110000,110000,90500
cheap cars for sale,EUR,74000,High,100,1.05,3.05,,,,,,60500,60500,74000,90500,74000,90500,90500,90500,90500,74000,74000,60500
bmw dealership,EUR,110000,Low,15,1.69,6.74,,,,,,110000,90500,90500,110000,110000,110000,110000,110000,110000,110000,110000,90500
nissan dealership near me,EUR,110000,Medium,46,2.89,7.28,,,,,,90500,90500,110000,110000,90500,135000,135000,135000,135000,135000,135000,135000
car lots near me,EUR,74000,Low,28,1.25,3.97,,,,,,49500,74000,110000,110000,74000,74000,74000,90500,90500,74000,74000,74000
used tesla,EUR,90500,Medium,35,0.21,0.58,,,,,,60500,74000,60500,90500,90500,90500,90500,90500,90500,90500,90500,110000
gmc dealership,EUR,135000,Medium,43,1.25,5.48,,,,,,135000,135000,110000,135000,110000,135000,135000,135000,165000,135000,135000,135000
dealerships,EUR,74000,Low,3,1.84,10.14,,,,,,33100,40500,40500,49500,40500,40500,40500,49500,60500,49500,165000,201000
kia dealership near me,EUR,110000,Medium,48,2.7,8.99,,,,,,60500,60500,90500,110000,90500,135000,135000,135000,135000,135000,135000,110000
infiniti g35,EUR,74000,Low,10,0.35,1.53,,,,,,49500,60500,49500,60500,74000,60500,60500,74000,90500,90500,74000,74000
trucks for sale near me,EUR,74000,High,92,0.68,2.56,,,,,,33100,60500,74000,74000,74000,74000,74000,90500,90500,74000,90500,74000
carmax used cars,EUR,74000,Medium,50,0.58,3.1,,,,,,165000,201000,165000,165000,22200,18100,14800,14800,18100,12100,12100,9900
sell my car,EUR,49500,High,90,2.99,10.94,,,,,,33100,40500,40500,49500,40500,49500,49500,60500,60500,60500,60500,49500
toyota near me,EUR,60500,Medium,35,1.98,7.27,,,,,,49500,49500,49500,60500,60500,60500,60500,74000,74000,60500,74000,60500
lykan hypersport,EUR,40500,Low,14,0.96,10.05,,,,,,40500,40500,27100,33100,33100,33100,33100,60500,74000,49500,40500,49500
audi dealership,EUR,74000,Low,26,2.02,6.88,,,,,,74000,74000,60500,74000,60500,74000,74000,74000,90500,74000,74000,60500
volkswagen dealer,EUR,74000,Low,33,2.42,8.5,,,,,,74000,74000,74000,74000,74000,74000,74000,90500,90500,90500,74000,60500
hyundai dealership near me,EUR,90500,Medium,40,1.68,6.74,,,,,,60500,60500,90500,110000,90500,90500,90500,135000,135000,110000,110000,110000
lexus dealership,EUR,74000,Low,22,1.33,7.28,,,,,,74000,74000,74000,74000,74000,74000,74000,90500,90500,74000,90500,74000
subaru dealer near me,EUR,110000,Medium,41,2.22,7.42,,,,,,60500,74000,110000,135000,110000,135000,135000,135000,135000,135000,135000,110000
dodge avenger,EUR,49500,Low,7,0.39,1.8,,,,,,33100,40500,40500,49500,49500,49500,49500,60500,60500,60500,49500,49500
hummer h3,EUR,40500,Low,32,0.27,0.59,,,,,,33100,33100,33100,40500,33100,33100,40500,49500,49500,49500,49500,49500
lexus es 350,EUR,49500,Medium,37,2.34,5.94,,,,,,40500,40500,40500,49500,40500,49500,49500,60500,60500,60500,60500,49500
used jeep wrangler,EUR,60500,High,95,0.81,4.07,,,,,,40500,49500,60500,60500,60500,74000,74000,74000,74000,60500,60500,49500
chrysler dealership,EUR,74000,Medium,41,3.41,8.8,,,,,,60500,60500,60500,74000,60500,74000,74000,74000,74000,74000,60500,49500
jeeps for sale,EUR,74000,High,100,0.55,4.13,,,,,,49500,60500,60500,74000,74000,74000,74000,90500,74000,74000,60500,49500
used car lots near me,EUR,60500,Medium,53,1.71,5.76,,,,,,40500,60500,74000,74000,60500,60500,49500,60500,60500,60500,49500,49500
bmw 328i,EUR,40500,Low,16,0.46,3.02,,,,,,33100,40500,40500,40500,40500,40500,40500,49500,49500,49500,49500,49500
acura dealership,EUR,74000,Low,27,1.91,6.98,,,,,,74000,74000,74000,74000,74000,74000,74000,90500,90500,74000,74000,60500
gmc dealer near me,EUR,90500,Medium,45,1.39,6.12,,,,,,74000,74000,90500,90500,90500,90500,90500,110000,110000,110000,110000,110000
toyota venza,EUR,40500,Low,16,0.31,1.52,,,,,,33100,40500,40500,40500,40500,40500,40500,49500,49500,49500,49500,40500
cars for sale by owner,EUR,60500,High,74,0.49,2.08,,,,,,40500,49500,60500,74000,60500,60500,60500,60500,60500,60500,60500,60500
used trucks,EUR,49500,High,88,1,3.12,,,,,,49500,60500,60500,60500,60500,60500,49500,49500,49500,49500,49500,40500
suv for sale,EUR,49500,High,83,1.39,8.48,,,,,,40500,49500,60500,60500,49500,40500,40500,49500,49500,49500,49500,49500
mazda dealership near me,EUR,74000,Medium,45,3.6,8.99,,,,,,49500,60500,74000,90500,60500,74000,74000,90500,90500,74000,74000,74000
dodge caliber,EUR,33100,Low,6,0.33,1.42,,,,,,27100,27100,33100,33100,27100,27100,33100,40500,40500,33100,33100,33100
bmw 335i,EUR,40500,Low,21,0.4,1.21,,,,,,27100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,40500
chevrolet dealer near me,EUR,90500,Medium,50,2.06,7.37,,,,,,90500,74000,74000,90500,90500,90500,90500,110000,110000,90500,90500,90500
vw dealership,EUR,49500,Medium,34,2.36,8.47,,,,,,49500,49500,49500,49500,49500,49500,49500,49500,60500,49500,49500,40500
craigslist cars for sale,EUR,60500,Low,23,0.43,1.92,,,,,,49500,60500,60500,74000,60500,60500,60500,60500,60500,49500,49500,49500
honda near me,EUR,40500,Low,32,2.21,7.37,,,,,,33100,33100,33100,40500,40500,40500,40500,49500,49500,40500,40500,40500
volvo dealership,EUR,60500,Low,20,1.56,6.35,,,,,,60500,60500,49500,49500,49500,49500,60500,60500,60500,49500,60500,49500
toyota supra for sale,EUR,40500,High,80,0.42,4.63,,,,,,40500,49500,40500,33100,27100,33100,33100,40500,49500,40500,33100,27100
tesla dealership,EUR,40500,Low,7,1.28,21.58,,,,,,33100,33100,33100,49500,40500,40500,49500,49500,49500,40500,49500,60500
subaru baja,EUR,40500,Low,11,0.31,3.71,,,,,,27100,27100,27100,33100,40500,33100,40500,49500,60500,49500,40500,49500
mini cooper for sale,EUR,33100,High,100,0.47,2.42,,,,,,27100,27100,27100,33100,33100,33100,40500,40500,40500,33100,33100,27100
infiniti g37,EUR,40500,Low,13,0.34,1.48,,,,,,27100,33100,33100,33100,33100,33100,40500,40500,49500,49500,49500,40500
acura tsx,EUR,40500,Low,15,0.92,3.78,,,,,,27100,33100,33100,33100,33100,33100,33100,40500,49500,40500,40500,40500
bmw dealer near me,EUR,60500,Low,24,2.43,7.36,,,,,,49500,40500,49500,60500,49500,60500,60500,74000,60500,60500,60500,60500
tesla for sale,EUR,40500,High,73,0.19,0.83,,,,,,33100,33100,33100,49500,49500,49500,49500,49500,40500,40500,49500,49500
2016 honda accord,EUR,49500,Low,30,0.86,4.03,,,,,,33100,40500,33100,40500,40500,40500,49500,60500,60500,60500,49500,49500
buy used cars,EUR,40500,High,82,1.71,6.31,,,,,,40500,49500,49500,49500,49500,49500,40500,49500,49500,40500,40500,33100
mitsubishi dealer,EUR,40500,Low,19,0.91,5.71,,,,,,33100,33100,33100,40500,40500,40500,40500,40500,40500,40500,40500,33100
mustang for sale,EUR,40500,High,93,0.49,2.72,,,,,,33100,40500,40500,49500,40500,40500,40500,40500,40500,40500,33100,33100
pontiac g6,EUR,33100,Low,6,0.31,1.28,,,,,,27100,33100,33100,40500,33100,33100,33100,40500,40500,40500,40500,33100
us auto sales,EUR,40500,Low,14,1.38,5.67,,,,,,27100,33100,40500,40500,33100,40500,33100,40500,40500,40500,40500,40500
nissan gtr for sale,EUR,33100,High,68,0.19,2.15,,,,,,33100,33100,27100,33100,33100,33100,33100,33100,40500,33100,33100,27100
lincoln dealership,EUR,49500,Low,32,1.17,6.13,,,,,,40500,40500,40500,40500,40500,49500,40500,49500,49500,49500,49500,49500
infiniti dealership,EUR,60500,Low,33,1.87,10.15,,,,,,60500,60500,60500,74000,60500,60500,60500,60500,60500,60500,60500,49500
dodge charger for sale,EUR,40500,High,86,0.86,4.32,,,,,,33100,40500,40500,40500,40500,40500,33100,40500,40500,40500,33100,33100
camaro for sale,EUR,40500,High,90,0.42,3.08,,,,,,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100
nissan cube,EUR,22200,Low,7,0.31,2.53,,,,,,14800,18100,18100,22200,18100,22200,22200,27100,27100,27100,27100,27100
cadillac srx,EUR,33100,Low,19,0.49,2.08,,,,,,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,33100
lexus gx 460,EUR,40500,Medium,45,1.01,3.64,,,,,,22200,27100,22200,27100,22200,33100,33100,49500,49500,49500,49500,49500
auto sales,EUR,33100,Medium,38,0.95,2.56,,,,,,27100,33100,33100,40500,33100,33100,33100,33100,33100,33100,33100,27100
jeeps for sale near me,EUR,40500,High,68,0.62,5.38,,,,,,22200,27100,33100,40500,40500,49500,49500,49500,49500,49500,40500,33100
delorean for sale,EUR,33100,High,97,0.31,0.9,,,,,,18100,27100,27100,27100,27100,27100,33100,40500,40500,33100,27100,40500
used tesla for sale,EUR,33100,Medium,65,0.23,0.73,,,,,,27100,33100,27100,33100,33100,40500,40500,40500,40500,40500,40500,40500
ford near me,EUR,33100,Medium,38,2.1,7.72,,,,,,27100,27100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100
dodge challenger for sale,EUR,33100,High,90,0.78,4.28,,,,,,27100,33100,33100,40500,33100,33100,33100,40500,33100,33100,33100,27100
pontiac solstice,EUR,27100,Low,16,0.27,0.5,,,,,,18100,18100,22200,22200,27100,27100,33100,40500,33100,33100,27100,22200
gtr for sale,EUR,33100,High,77,0.18,1.01,,,,,,33100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100
lamborghini for sale,EUR,33100,High,100,0.2,1.03,,,,,,27100,33100,27100,33100,33100,33100,33100,33100,33100,27100,27100,27100
used bmw,EUR,22200,High,70,1.42,6.74,,,,,,18100,22200,22200,27100,22200,22200,22200,22200,27100,22200,22200,22200
cadillac dealership,EUR,49500,Medium,39,2.67,7.55,,,,,,49500,49500,40500,49500,40500,49500,49500,49500,49500,49500,49500,40500
bmw near me,EUR,27100,Low,15,2.04,6.88,,,,,,22200,22200,22200,27100,27100,27100,27100,33100,33100,33100,33100,33100
nissan near me,EUR,27100,Medium,40,2.71,7.1,,,,,,27100,27100,27100,33100,27100,27100,27100,33100,33100,33100,33100,33100
lexus gs 350,EUR,33100,Low,33,1.09,5.4,,,,,,27100,27100,27100,33100,27100,27100,27100,33100,40500,33100,33100,33100
2015 nissan altima,EUR,40500,Low,25,0.67,3.8,,,,,,33100,33100,33100,40500,33100,33100,40500,49500,49500,49500,49500,40500
audi dealership near me,EUR,49500,Low,32,2.25,7.83,,,,,,27100,27100,40500,49500,40500,49500,49500,60500,60500,49500,49500,49500
2015 honda accord,EUR,40500,Low,29,0.68,3.45,,,,,,27100,33100,33100,33100,33100,33100,33100,49500,49500,40500,40500,40500
equus car,EUR,33100,Low,20,0.35,1.18,,,,,,18100,27100,27100,33100,33100,33100,33100,33100,40500,33100,40500,27100
lexus dealer near me,EUR,49500,Low,29,2.57,8.86,,,,,,33100,40500,49500,49500,40500,49500,49500,49500,49500,49500,49500,49500
ford bronco for sale,EUR,27100,High,95,0.27,2.01,,,,,,27100,33100,33100,33100,27100,27100,27100,33100,33100,33100,27100,33100
hyundai near me,EUR,27100,Medium,36,1.39,6.21,,,,,,22200,22200,22200,27100,22200,27100,27100,33100,33100,33100,33100,33100
2012 honda accord,EUR,33100,Low,16,0.33,3.02,,,,,,22200,27100,27100,33100,27100,27100,33100,40500,40500,40500,40500,40500
chrysler crossfire,EUR,22200,Low,17,0.31,1.09,,,,,,18100,18100,18100,18100,18100,18100,18100,27100,27100,22200,22200,22200
acura dealer near me,EUR,49500,Low,32,2.72,8.63,,,,,,40500,40500,40500,49500,49500,49500,40500,49500,60500,49500,49500,40500
bmw for sale,EUR,27100,High,76,0.4,2.46,,,,,,22200,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,22200
honda civic for sale,EUR,27100,High,82,0.64,6.41,,,,,,18100,22200,22200,27100,27100,27100,27100,27100,33100,27100,27100,22200
buick dealership,EUR,33100,Medium,44,1.45,6.3,,,,,,33100,40500,33100,40500,33100,40500,40500,40500,40500,33100,33100,27100
cheap cars near me,EUR,27100,High,73,0.85,3.41,,,,,,14800,27100,40500,40500,22200,27100,27100,33100,33100,27100,22200,18100
used honda civic,EUR,33100,High,77,1.59,4.5,,,,,,22200,27100,27100,33100,33100,33100,33100,33100,33100,33100,27100,27100
chevy hhr,EUR,27100,Low,6,0.31,3.13,,,,,,22200,33100,27100,27100,27100,27100,27100,33100,40500,33100,33100,33100
mustang gt for sale,EUR,27100,High,74,0.39,2.01,,,,,,22200,22200,27100,27100,27100,33100,27100,27100,33100,33100,27100,27100
2017 toyota camry,EUR,33100,Low,29,0.83,4.15,,,,,,27100,27100,27100,33100,27100,27100,33100,40500,40500,33100,40500,33100
used trucks for sale near me,EUR,27100,High,89,1.04,3.12,,,,,,18100,40500,22200,40500,27100,27100,22200,22200,40500,33100,33100,22200
2014 honda accord,EUR,33100,Low,21,0.47,3.15,,,,,,22200,27100,27100,33100,27100,27100,33100,40500,40500,40500,40500,33100
lexus rc 350,EUR,27100,Low,27,0.98,3.15,,,,,,22200,22200,22200,27100,22200,22200,27100,27100,27100,27100,27100,27100
honda crv for sale,EUR,22200,High,73,1.03,8.99,,,,,,18100,22200,22200,27100,22200,22200,27100,27100,27100,22200,22200,18100
cheap used cars,EUR,27100,High,99,1.13,3.25,,,,,,27100,33100,33100,33100,27100,27100,27100,27100,27100,27100,27100,22200
bmw m3 for sale,EUR,22200,Medium,42,0.28,1.37,,,,,,18100,22200,22200,22200,22200,27100,22200,22200,27100,22200,22200,22200
bmw convertible,EUR,22200,Medium,42,0.6,4.33,,,,,,12100,14800,14800,22200,22200,22200,27100,33100,33100,27100,22200,18100
dodge demon for sale,EUR,27100,High,87,0.35,3.38,,,,,,22200,22200,22200,22200,22200,22200,27100,33100,33100,27100,27100,22200
honda accord for sale,EUR,27100,Medium,66,0.78,7.32,,,,,,22200,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,22200
buick lesabre,EUR,27100,Low,6,0.41,5.05,,,,,,18100,22200,22200,27100,22200,22200,22200,33100,33100,27100,27100,27100
used jeeps for sale,EUR,27100,High,100,0.59,3.15,,,,,,18100,22200,27100,27100,27100,33100,33100,40500,33100,33100,27100,27100
subaru near me,EUR,27100,Medium,35,1.65,6.96,,,,,,22200,22200,22200,27100,27100,27100,27100,27100,33100,27100,27100,27100
2016 nissan altima,EUR,33100,Low,28,0.92,4.25,,,,,,22200,22200,22200,27100,27100,27100,33100,40500,40500,40500,40500,33100
kia telluride for sale,EUR,27100,Medium,55,0.52,4.96,,,,,,90,390,9900,33100,27100,40500,33100,33100,33100,33100,33100,27100
aston martin db9,EUR,14800,Low,7,0.22,5.26,,,,,,12100,12100,12100,14800,12100,12100,14800,22200,22200,18100,18100,18100
old cars for sale,EUR,18100,High,100,0.44,1.66,,,,,,14800,18100,18100,22200,18100,18100,22200,22200,27100,22200,18100,18100
volkswagen dealership near me,EUR,40500,Medium,38,3.15,9.12,,,,,,27100,33100,40500,40500,33100,40500,40500,49500,49500,40500,40500,40500
2011 hyundai sonata,EUR,27100,Low,17,0.47,4.36,,,,,,22200,27100,27100,27100,27100,27100,27100,33100,33100,33100,33100,27100
chrysler dealership near me,EUR,40500,Medium,45,3.68,9.42,,,,,,27100,33100,40500,49500,40500,33100,40500,49500,49500,40500,40500,40500
kia near me,EUR,22200,Medium,39,1.53,7.19,,,,,,18100,18100,18100,22200,22200,27100,27100,27100,27100,27100,27100,27100
nissan 350z for sale,EUR,22200,High,89,0.3,1.8,,,,,,14800,22200,18100,22200,22200,22200,22200,22200,27100,27100,22200,22200
range rover for sale,EUR,22200,High,82,0.46,3.08,,,,,,18100,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200,22200
thunderbird car,EUR,22200,Low,13,0.22,1.25,,,,,,14800,14800,14800,18100,18100,22200,22200,27100,27100,27100,27100,22200
chevy tahoe for sale,EUR,27100,High,68,0.79,5.4,,,,,,27100,27100,27100,27100,22200,22200,22200,27100,27100,22200,22200,22200
subaru wrx for sale,EUR,22200,Medium,61,0.37,4.12,,,,,,18100,22200,22200,22200,22200,27100,22200,27100,27100,27100,22200,22200
dodge charger 2018,EUR,27100,Low,29,0.66,2.77,,,,,,33100,33100,27100,27100,27100,27100,27100,33100,33100,27100,27100,22200
ford mustang for sale,EUR,22200,High,92,0.67,3.52,,,,,,14800,18100,18100,22200,22200,22200,22200,22200,22200,22200,18100,18100
2016 toyota camry,EUR,27100,Low,27,0.64,3.43,,,,,,22200,27100,27100,27100,27100,27100,27100,40500,40500,33100,33100,27100
audi r8 for sale,EUR,22200,High,74,0.3,1.11,,,,,,22200,22200,18100,22200,22200,22200,22200,22200,22200,22200,18100,18100
used cars for sale by owner,EUR,27100,High,100,0.72,2.77,,,,,,18100,22200,27100,27100,22200,22200,27100,27100,33100,27100,27100,22200
used car dealer,EUR,22200,Low,24,1.71,5.94,,,,,,14800,18100,18100,18100,18100,22200,22200,27100,27100,27100,27100,22200
2015 dodge charger,EUR,27100,Low,30,0.49,1.53,,,,,,22200,22200,22200,27100,22200,22200,27100,33100,33100,33100,33100,33100
bmw 325i,EUR,14800,Low,10,0.37,6.85,,,,,,12100,14800,14800,14800,14800,14800,18100,18100,18100,18100,18100,18100
ebay cars,EUR,14800,High,72,0.5,1.7,,,,,,14800,18100,18100,18100,18100,18100,14800,14800,14800,14800,14800,14800
2012 toyota camry,EUR,27100,Low,18,0.34,2.67,,,,,,18100,22200,22200,27100,22200,22200,27100,33100,33100,27100,33100,27100
bmw 650i,EUR,22200,Medium,37,0.49,2.38,,,,,,18100,18100,18100,18100,18100,22200,22200,27100,27100,22200,22200,22200
pontiac grand prix,EUR,22200,Low,5,0.31,0.67,,,,,,14800,18100,18100,22200,18100,18100,22200,27100,27100,27100,22200,22200
2017 nissan altima,EUR,27100,Low,27,0.9,4.5,,,,,,27100,27100,27100,33100,27100,27100,27100,33100,33100,33100,33100,27100
volvo dealer near me,EUR,40500,Low,33,1.68,6.85,,,,,,22200,27100,33100,40500,33100,33100,40500,49500,49500,40500,40500,40500
toyota camry for sale,EUR,22200,High,74,1.81,9.81,,,,,,18100,22200,22200,27100,22200,27100,27100,27100,27100,22200,22200,22200
buy here pay here car lots,EUR,27100,High,70,1.66,6.57,,,,,,22200,22200,27100,33100,22200,27100,27100,27100,27100,22200,22200,22200
used trucks near me,EUR,22200,High,77,1.02,3.17,,,,,,14800,18100,49500,40500,22200,27100,22200,22200,22200,18100,18100,18100
pre owned cars,EUR,18100,High,79,1.71,6.47,,,,,,14800,18100,18100,22200,22200,22200,18100,22200,22200,18100,18100,18100
mercedes benz dealer,EUR,18100,Low,17,1.49,7.19,,,,,,18100,18100,18100,14800,18100,18100,18100,22200,22200,22200,22200,14800
infiniti fx35,EUR,14800,Low,22,0.41,1.08,,,,,,12100,14800,14800,18100,14800,14800,14800,18100,18100,18100,18100,18100
ram dealer near me,EUR,40500,Medium,52,4.5,11.33,,,,,,27100,27100,33100,40500,40500,40500,40500,49500,49500,49500,49500,49500
chevy ssr,EUR,22200,Low,24,0.34,2.47,,,,,,14800,18100,14800,18100,18100,22200,27100,33100,33100,27100,27100,27100
used suv for sale,EUR,27100,High,85,1,4.44,,,,,,18100,22200,27100,27100,22200,27100,27100,27100,27100,27100,27100,27100
2015 toyota camry,EUR,27100,Low,23,0.43,2.77,,,,,,22200,22200,22200,27100,22200,22200,27100,33100,33100,27100,27100,27100
used subaru,EUR,27100,Medium,60,0.63,3.66,,,,,,22200,27100,27100,27100,22200,22200,22200,27100,27100,22200,22200,22200
used car lots,EUR,27100,Medium,49,1.67,4.52,,,,,,22200,33100,40500,40500,27100,27100,22200,27100,27100,22200,22200,18100
cheap cars for sale near me,EUR,22200,High,82,0.87,3.14,,,,,,12100,18100,22200,22200,22200,22200,18100,22200,22200,18100,22200,27100
pontiac vibe,EUR,18100,Low,5,0.31,0.63,,,,,,14800,14800,14800,18100,18100,18100,18100,22200,22200,22200,22200,22200
used range rover,EUR,22200,High,73,0.58,2.25,,,,,,22200,22200,22200,27100,22200,22200,22200,22200,22200,22200,22200,18100
jeep wrangler price,EUR,14800,High,100,2,5.67,,,,,,12100,14800,12100,14800,14800,14800,18100,22200,18100,14800,12100,9900
autotrader usa,EUR,14800,Low,31,0.76,2.69,,,,,,12100,14800,12100,14800,14800,14800,14800,14800,18100,18100,18100,14800
toyota used cars,EUR,18100,High,67,1.61,4.5,,,,,,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800
350z for sale,EUR,22200,High,77,0.23,0.85,,,,,,14800,18100,18100,22200,22200,22200,18100,18100,22200,22200,22200,18100
car city,EUR,14800,Low,22,1.09,6.26,,,,,,12100,14800,14800,18100,14800,14800,14800,18100,18100,14800,18100,14800
used honda accord,EUR,22200,High,72,1.68,5.11,,,,,,22200,27100,27100,27100,27100,22200,22200,27100,27100,22200,22200,22200
cadillac dealer near me,EUR,40500,Medium,39,1.88,6.8,,,,,,27100,33100,40500,40500,40500,33100,33100,40500,40500,40500,40500,40500
