Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
tree nursery near me,EUR,27100,High,71,1.15,5.44,,,,,,9900,9900,12100,27100,49500,49500,33100,27100,27100,27100,27100,18100
landscaping companies near me,EUR,33100,Medium,45,2.06,9.28,,,,,,12100,18100,22200,33100,49500,60500,49500,40500,33100,33100,27100,18100
lawn mower battery,EUR,27100,High,100,0.26,1.29,,,,,,6600,8100,12100,40500,60500,60500,40500,33100,33100,27100,18100,12100
garden hoe,EUR,18100,High,100,0.28,1.8,,,,,,9900,12100,12100,18100,22200,27100,27100,27100,22200,18100,18100,14800
landscaping companies,EUR,22200,Medium,44,1.84,8.45,,,,,,12100,18100,18100,27100,40500,33100,27100,27100,27100,18100,18100,14800
lawn roller,EUR,18100,High,100,0.3,0.72,,,,,,4400,4400,8100,27100,60500,33100,18100,12100,12100,12100,9900,5400
garden nursery near me,EUR,18100,Low,8,1.07,5.83,,,,,,5400,6600,8100,18100,33100,40500,27100,18100,14800,14800,9900,6600
trees for sale,EUR,14800,High,100,0.24,1.12,,,,,,8100,8100,9900,18100,27100,22200,18100,14800,14800,14800,12100,12100
xeriscape,EUR,22200,Low,3,1.12,3.63,,,,,,9900,18100,14800,18100,22200,27100,22200,27100,22200,22200,27100,18100
home depot garden center,EUR,18100,High,100,0.01,4.95,,,,,,8100,8100,9900,22200,40500,40500,27100,22200,18100,14800,12100,9900
tree nursery,EUR,14800,High,69,0.55,3.04,,,,,,8100,8100,9900,18100,27100,22200,18100,14800,14800,18100,12100,9900
ryobi lawn mower,EUR,12100,High,100,0.15,0.45,,,,,,2400,2400,3600,8100,27100,27100,22200,18100,14800,9900,6600,5400
front yard landscaping,EUR,14800,Medium,41,1.6,4.99,,,,,,3600,6600,8100,12100,27100,18100,18100,27100,22200,18100,12100,9900
cordless leaf blower,EUR,18100,High,100,0.31,2.02,,,,,,18100,6600,5400,12100,18100,18100,18100,14800,14800,18100,22200,33100
backpack leaf blower,EUR,18100,High,100,0.34,1.86,,,,,,22200,6600,6600,14800,18100,14800,9900,8100,9900,14800,27100,49500
ryobi leaf blower,EUR,12100,High,100,0.16,0.5,,,,,,14800,5400,4400,6600,12100,14800,14800,12100,9900,12100,18100,27100
lawn maintenance,EUR,12100,Low,14,2.9,8.89,,,,,,5400,5400,6600,12100,14800,12100,9900,12100,9900,14800,18100,14800
hardscape,EUR,14800,Medium,46,1.73,8.26,,,,,,6600,9900,9900,14800,18100,18100,14800,18100,14800,14800,12100,9900
pruning shears,EUR,9900,High,100,0.32,0.71,,,,,,6600,5400,5400,8100,9900,12100,12100,12100,12100,12100,9900,8100
garden nursery,EUR,12100,Low,14,0.76,3.28,,,,,,4400,5400,6600,14800,22200,22200,14800,12100,9900,9900,6600,5400
loppers,EUR,9900,High,100,0.13,0.61,,,,,,6600,5400,5400,9900,9900,12100,12100,12100,9900,9900,9900,9900
gas leaf blower,EUR,12100,High,100,0.31,1.16,,,,,,14800,5400,4400,12100,14800,14800,12100,8100,9900,12100,18100,27100
landscaping services,EUR,9900,Medium,49,2.25,7.81,,,,,,5400,6600,8100,14800,18100,14800,12100,12100,12100,9900,8100,6600
electric leaf blower,EUR,9900,High,100,0.27,1.74,,,,,,12100,5400,4400,8100,12100,12100,9900,8100,8100,9900,14800,22200
fruit trees for sale,EUR,8100,High,100,0.3,1.21,,,,,,5400,8100,9900,12100,12100,9900,8100,6600,6600,6600,5400,4400
landscape rock near me,EUR,18100,High,92,1.15,5.61,,,,,,4400,6600,8100,18100,33100,33100,27100,22200,18100,14800,12100,9900
desert landscape,EUR,8100,Low,3,1.54,5.74,,,,,,4400,5400,5400,6600,6600,6600,6600,9900,12100,14800,14800,12100
leaf rake,EUR,14800,High,100,0.36,2.07,,,,,,14800,8100,6600,12100,14800,8100,6600,6600,8100,12100,27100,40500
hoe tool,EUR,6600,High,97,0.32,0.85,,,,,,4400,3600,4400,5400,6600,8100,8100,8100,8100,6600,6600,5400
palm trees for sale,EUR,8100,High,100,0.44,1.27,,,,,,4400,5400,6600,9900,9900,12100,9900,9900,8100,6600,6600,5400
best leaf blower,EUR,8100,High,100,0.14,1.29,,,,,,9900,3600,2900,6600,9900,8100,6600,4400,5400,8100,14800,22200
spade shovel,EUR,8100,High,100,0.29,0.52,,,,,,3600,3600,4400,6600,9900,12100,12100,9900,9900,8100,8100,6600
backyard landscaping,EUR,9900,High,100,1.56,4.74,,,,,,2900,5400,5400,12100,12100,9900,12100,14800,12100,12100,9900,6600
wheelbarrow lowes,EUR,14800,High,100,0.15,0.76,,,,,,8100,8100,8100,18100,27100,22200,18100,14800,9900,9900,8100,8100
flower nursery near me,EUR,8100,Low,9,0.86,3.53,,,,,,1600,2400,2900,8100,14800,27100,12100,8100,5400,5400,4400,2400
garden shears,EUR,5400,High,100,0.34,0.75,,,,,,3600,2400,2400,4400,6600,8100,8100,8100,8100,6600,6600,5400
craftsman riding lawn mower,EUR,9900,High,100,0.44,1.35,,,,,,2400,2400,2900,6600,12100,18100,18100,14800,12100,12100,6600,4400
garden landscaping,EUR,8100,Medium,38,1.57,5.4,,,,,,1600,1900,1900,3600,18100,5400,3600,12100,12100,9900,9900,6600
secateurs,EUR,4400,High,75,0.31,0.5,,,,,,3600,4400,3600,3600,3600,4400,4400,5400,5400,5400,5400,4400
dewalt leaf blower,EUR,8100,High,100,0.22,0.85,,,,,,6600,2400,2400,4400,8100,8100,9900,5400,6600,9900,12100,18100
landscaping bricks,EUR,9900,High,100,0.53,3.88,,,,,,1900,3600,4400,12100,18100,22200,18100,14800,12100,9900,5400,3600
trees for sale near me,EUR,8100,High,100,0.4,3.51,,,,,,4400,2400,3600,8100,12100,12100,9900,8100,8100,9900,6600,4400
garden rake,EUR,5400,High,100,0.25,0.56,,,,,,2400,2400,2900,5400,9900,8100,6600,5400,5400,5400,4400,3600
concrete edging,EUR,5400,High,100,0.51,3.92,,,,,,1600,1900,2400,5400,9900,9900,8100,8100,6600,6600,5400,2900
yard cart,EUR,6600,High,100,0.27,0.85,,,,,,4400,3600,3600,8100,14800,12100,9900,8100,6600,6600,5400,4400
plants for sale near me,EUR,8100,High,100,0.88,2.28,,,,,,1900,2900,3600,8100,14800,22200,9900,8100,6600,6600,4400,2900
bulb planter,EUR,9900,High,100,0.17,0.94,,,,,,5400,6600,8100,12100,14800,12100,8100,6600,8100,12100,14800,9900
electric riding lawn mower,EUR,6600,High,100,0.18,2.45,,,,,,1900,2400,2900,6600,12100,12100,12100,9900,8100,6600,4400,3600
husqvarna leaf blower,EUR,6600,High,100,0.37,0.73,,,,,,6600,2900,2400,4400,6600,6600,5400,4400,4400,6600,12100,14800
weeding tool,EUR,8100,High,100,0.16,0.5,,,,,,2400,2900,3600,8100,12100,14800,14800,12100,9900,5400,3600,2900
pruning saw,EUR,4400,High,100,0.36,1.8,,,,,,2900,2400,2900,4400,4400,5400,5400,5400,4400,4400,5400,4400
battery powered leaf blower,EUR,6600,High,100,0.3,1.92,,,,,,6600,2400,2400,4400,6600,8100,6600,5400,5400,6600,9900,12100
landscaping services near me,EUR,6600,Medium,53,2.12,8.04,,,,,,2400,2900,3600,8100,12100,12100,9900,8100,8100,6600,5400,3600
hula hoe,EUR,5400,High,100,0.28,0.4,,,,,,1900,2900,2900,8100,9900,9900,9900,8100,5400,3600,2900,1600
leaf blower vacuum,EUR,4400,High,100,0.25,1.59,,,,,,4400,1900,1600,5400,6600,3600,3600,2400,2400,4400,8100,12100
apple trees for sale,EUR,5400,High,100,0.22,0.69,,,,,,2900,3600,3600,6600,6600,6600,4400,3600,4400,5400,5400,3600
worx leaf blower,EUR,5400,High,100,0.39,2,,,,,,6600,2900,1900,3600,6600,6600,6600,4400,4400,5400,8100,12100
river rock landscaping,EUR,8100,High,100,0.89,4.16,,,,,,1600,2400,2900,6600,14800,14800,12100,12100,12100,9900,6600,3600
piet oudolf,EUR,2900,Low,23,0.33,0.58,,,,,,1300,1900,2400,2900,8100,2900,2900,2900,2900,2900,2900,2900
landscape contractors,EUR,6600,Medium,36,1.92,7.21,,,,,,4400,5400,6600,8100,9900,8100,8100,8100,8100,6600,6600,5400
sod installation,EUR,5400,Medium,50,2.12,6.97,,,,,,2400,2900,4400,8100,12100,9900,8100,6600,5400,5400,4400,2900
dewalt pole saw,EUR,5400,High,100,0.29,0.8,,,,,,1300,1000,1000,1900,2400,3600,4400,5400,9900,12100,8100,9900
hand tiller,EUR,5400,High,100,0.21,0.43,,,,,,1000,1300,1900,6600,12100,12100,8100,5400,3600,3600,2900,1600
pruner,EUR,4400,High,100,0.33,1.12,,,,,,2900,2900,2900,4400,4400,5400,5400,5400,5400,5400,4400,4400
local nurseries,EUR,4400,Low,13,0.63,2.7,,,,,,1900,2400,2900,6600,9900,9900,5400,4400,4400,3600,2900,1900
landscape borders,EUR,8100,High,100,0.34,3.64,,,,,,1900,3600,4400,9900,14800,14800,12100,9900,8100,6600,5400,3600
battery leaf blower,EUR,4400,High,100,0.26,2.06,,,,,,5400,1900,1900,3600,5400,5400,5400,3600,3600,5400,8100,9900
wholesale nursery,EUR,4400,Low,32,1.05,2.32,,,,,,1900,3600,3600,5400,8100,6600,4400,4400,4400,4400,4400,2400
weeder,EUR,2900,High,100,0.22,2.15,,,,,,1300,1300,1600,2900,4400,5400,5400,5400,3600,2400,1900,1300
bamboo plants for sale,EUR,3600,High,100,0.18,0.86,,,,,,2900,2900,3600,5400,6600,5400,3600,3600,2900,2900,2400,2400
best cordless leaf blower,EUR,4400,High,100,0.15,0.64,,,,,,4400,1900,1300,2400,4400,5400,4400,4400,4400,5400,8100,9900
toro leaf blower,EUR,4400,High,100,0.23,1.03,,,,,,5400,2400,1900,3600,5400,4400,4400,3600,3600,4400,6600,9900
lawn maintenance near me,EUR,4400,Medium,56,2.11,9.96,,,,,,1600,1900,1900,5400,6600,9900,5400,6600,5400,4400,2400,1900
sunset landscape,EUR,4400,Low,1,2.35,8.35,,,,,,1600,1900,1900,2400,2400,2400,2900,5400,5400,9900,9900,8100
digging tools,EUR,3600,High,100,0.28,0.93,,,,,,1900,1900,1900,2900,3600,4400,3600,4400,4400,3600,3600,2900
garden fork,EUR,2400,High,100,0.26,0.73,,,,,,1000,1600,1600,2900,3600,4400,2900,2900,2900,2400,2400,1900
black and decker leaf blower,EUR,3600,High,100,0.34,1.74,,,,,,3600,1600,1000,2400,3600,4400,4400,2900,2900,3600,4400,8100
tools used for gardening,EUR,2400,Medium,35,0.42,2.43,,,,,,4400,2900,2400,1900,1900,2400,2400,1900,2400,1300,1300,1600
hedge shears,EUR,2900,High,100,0.34,0.85,,,,,,1000,1000,1000,2400,3600,4400,4400,4400,3600,3600,2900,2400
avocado tree for sale,EUR,4400,High,100,0.23,0.83,,,,,,2900,3600,3600,5400,8100,6600,5400,4400,3600,3600,3600,2400
felco pruners,EUR,3600,High,100,0.52,1.09,,,,,,3600,2900,2900,4400,4400,4400,4400,3600,3600,2900,2900,3600
pool landscaping,EUR,3600,Medium,56,1.67,4.92,,,,,,1000,1600,1900,3600,4400,4400,5400,6600,5400,3600,2900,2400
broadfork,EUR,3600,High,100,0.19,0.52,,,,,,2400,2900,2900,5400,5400,4400,3600,3600,3600,2900,2900,2900
nature landscape,EUR,3600,Low,2,1.83,5.57,,,,,,1600,2400,1900,2400,2900,2900,2900,3600,4400,6600,5400,5400
landscape edging borders,EUR,3600,High,100,0.5,4.41,,,,,,720,1300,1600,6600,8100,8100,5400,4400,3600,2900,1900,1000
electric tiller,EUR,3600,High,100,0.19,0.56,,,,,,880,1300,1900,5400,8100,8100,4400,2900,2900,2400,1900,1300
lawn leveling rake,EUR,3600,High,100,0.24,1.8,,,,,,590,880,1300,3600,8100,8100,4400,3600,4400,4400,2400,880
magnolia tree for sale,EUR,3600,High,100,0.19,0.75,,,,,,1000,1600,2900,5400,8100,9900,5400,3600,2900,2400,1900,1300
landscape maintenance,EUR,3600,Low,29,1.64,7.19,,,,,,1900,2400,2900,3600,5400,4400,4400,4400,4400,2900,2900,2400
yard maintenance,EUR,3600,Medium,52,2.25,8.1,,,,,,1600,1600,1900,4400,5400,5400,4400,4400,3600,2900,2900,1900
yard drainage,EUR,5400,High,100,1.52,10.29,,,,,,2900,3600,4400,6600,8100,9900,6600,5400,4400,3600,3600,2400
concrete curbing,EUR,4400,High,100,0.85,4.27,,,,,,1600,2400,2900,3600,6600,5400,5400,6600,5400,4400,4400,2900
garden spade,EUR,2900,High,100,0.31,0.85,,,,,,1300,1300,1600,2900,4400,5400,3600,3600,2900,2400,2400,1900
landscape nursery near me,EUR,5400,Low,12,1.94,7.69,,,,,,1600,1900,2900,6600,9900,9900,6600,5400,5400,4400,4400,2400
landscape design near me,EUR,3600,Medium,53,2.47,8.52,,,,,,1000,1900,2400,5400,6600,5400,4400,4400,4400,3600,2900,1900
landscaping trees,EUR,6600,High,93,1.8,7.02,,,,,,2400,3600,4400,6600,9900,9900,8100,8100,8100,9900,8100,6600
lawn cart,EUR,3600,High,100,0.25,0.8,,,,,,1600,1600,1900,5400,8100,8100,5400,4400,3600,3600,2400,1900
garden scissors,EUR,2400,High,100,0.37,1.07,,,,,,1300,1300,1300,1900,2400,3600,3600,3600,3600,2900,2900,2400
japanese landscape,EUR,3600,Low,32,1.42,8.89,,,,,,1900,1900,1900,2400,2900,2400,2400,3600,4400,5400,5400,5400
river rock near me,EUR,3600,High,100,0.77,4.25,,,,,,1000,1000,1600,2900,6600,6600,6600,5400,5400,4400,3600,2400
plant and flower nursery near me,EUR,2900,High,80,0.8,3.76,,,,,,1000,1300,1900,3600,8100,9900,4400,2900,1900,1300,1000,590
wheelbarrow walmart,EUR,5400,High,100,0.04,0.43,,,,,,2400,2400,2900,8100,12100,9900,8100,5400,4400,4400,3600,2900
lawn rake,EUR,2900,High,100,0.27,0.8,,,,,,1000,880,1000,3600,6600,4400,2400,2400,2400,2900,2400,2400
fall landscape,EUR,3600,Low,1,2.64,8.99,,,,,,590,480,390,390,480,480,590,1300,4400,12100,14800,8100
best riding lawn mower 2019,EUR,3600,High,100,0.1,3.35,,,,,,20,140,480,4400,9900,9900,6600,2900,3600,3600,1600,880
brick edging,EUR,3600,High,100,0.36,3.06,,,,,,720,1000,1000,3600,8100,8100,6600,5400,4400,3600,2900,1300
pine trees for sale,EUR,3600,High,100,0.28,1.4,,,,,,2900,2400,2400,4400,5400,4400,2900,2900,2900,2900,2900,3600
garden trowel,EUR,2400,High,100,0.29,0.82,,,,,,1300,1300,1600,2400,3600,4400,2900,2900,2400,2400,2400,1900
hoe garden tool,EUR,3600,High,100,0.32,3.19,,,,,,1900,2400,2400,3600,3600,4400,4400,4400,4400,3600,4400,3600
landscape boulders,EUR,5400,High,100,1.04,4.02,,,,,,1900,2400,2900,5400,8100,8100,8100,8100,6600,6600,4400,3600
grub hoe,EUR,2900,High,100,0.24,0.48,,,,,,1600,1600,1600,3600,4400,5400,4400,4400,3600,2900,2400,1900
simple landscape,EUR,2900,Low,3,1.85,8.02,,,,,,1300,1600,1600,1900,2400,1900,1900,2900,2900,4400,4400,4400
native plant nursery,EUR,2900,Low,10,0.55,2.49,,,,,,1300,1900,1900,3600,4400,4400,2900,2400,2400,2400,2400,1600
wheelbarrow for sale,EUR,2900,High,100,0.25,2.22,,,,,,1300,1300,1600,3600,5400,4400,3600,2900,2400,2900,2400,1900
landscape designers near me,EUR,3600,Medium,62,2.56,9.06,,,,,,1300,2400,2900,5400,5400,5400,4400,4400,4400,3600,2900,1900
buy plants,EUR,2400,High,100,0.43,3.4,,,,,,1600,1900,1900,3600,2900,2900,2400,2400,2400,2400,1900,1600
grass shears,EUR,1900,High,100,0.24,0.54,,,,,,480,390,390,1000,2900,5400,5400,3600,2900,1900,1000,720
modern landscaping,EUR,2900,Medium,63,1.84,6.3,,,,,,1000,1600,1600,2400,2900,2900,3600,4400,4400,4400,3600,2900
fruit trees for sale near me,EUR,2400,High,100,0.31,1.29,,,,,,880,1000,1900,3600,5400,4400,3600,1900,2400,2900,2400,1300
low maintenance landscaping,EUR,2900,Low,29,0.67,5.8,,,,,,590,880,1300,4400,4400,3600,3600,5400,4400,3600,2400,1600
wholesale nursery near me,EUR,3600,Low,15,1.92,2.93,,,,,,1300,2400,2900,4400,5400,5400,3600,2400,2400,2900,2900,1900
landscape curbing,EUR,3600,High,91,0.97,4.1,,,,,,880,1300,1900,3600,5400,5400,4400,4400,4400,3600,3600,2400
local landscapers,EUR,2900,Medium,49,1.68,6.04,,,,,,1300,1300,1600,3600,5400,4400,3600,3600,2900,1900,1600,1300
garden shovel,EUR,2400,High,100,0.31,0.56,,,,,,1300,1300,1600,2400,3600,4400,3600,2900,2900,2900,2400,2900
wholesale plants,EUR,2400,High,100,0.8,1.76,,,,,,1300,1900,2400,3600,4400,3600,2400,1900,2400,1900,1900,1600
palm trees for sale near me,EUR,2900,High,100,0.61,2.37,,,,,,1300,1900,2400,4400,4400,4400,3600,3600,2900,2400,2400,1900
home depot landscape edging,EUR,3600,High,100,1.65,4.95,,,,,,590,720,1000,2400,6600,8100,6600,4400,3600,2900,1900,1300
landscape contractors near me,EUR,2900,Medium,39,2.77,9.94,,,,,,880,1300,1900,4400,5400,4400,3600,3600,3600,3600,2400,1900
yard tools,EUR,2900,High,100,0.3,1.05,,,,,,1900,1000,1300,2900,4400,4400,3600,3600,2900,2400,2400,2400
commercial landscaping,EUR,2900,Low,29,2.75,9.06,,,,,,2400,1900,2900,2900,3600,3600,2900,3600,2900,2400,2400,1900
sears riding lawn mowers,EUR,3600,High,100,0.17,2.39,,,,,,1600,1600,2400,5400,8100,8100,5400,4400,2400,2900,1900,1300
battery operated leaf blower,EUR,2900,High,100,0.26,2.17,,,,,,3600,1000,1000,1900,2900,2900,2900,1900,2400,2900,4400,6600
backyard landscape design,EUR,2900,High,100,1.9,7.12,,,,,,1000,1900,1900,3600,3600,3600,3600,5400,4400,3600,3600,2900
landscaping business,EUR,2900,Low,26,1.14,5.36,,,,,,1900,2400,2400,2900,3600,3600,2900,2900,2900,2400,2400,2400
front of house landscaping,EUR,5400,High,75,1.71,6.23,,,,,,880,1300,1900,4400,8100,8100,6600,8100,6600,6600,4400,2900
garden hand tools,EUR,2400,High,100,0.36,1.16,,,,,,1300,1000,1600,2900,4400,5400,3600,2400,1900,1600,1600,1300
wholesale plant nursery,EUR,2400,Low,25,1.01,2.93,,,,,,880,1300,1900,1900,2400,2900,2400,2900,2400,2400,2400,2400
lemon trees for sale,EUR,2900,High,100,0.3,0.9,,,,,,1900,2400,2900,4400,4400,4400,3600,2400,1900,1900,1600,1600
2 wheel wheelbarrow,EUR,2400,High,100,0.24,0.6,,,,,,1900,1300,1600,3600,4400,4400,3600,2400,2400,1900,1900,1900
urban landscape,EUR,1600,Low,3,1.77,5.31,,,,,,880,1300,1300,1300,1600,1600,1000,1300,1600,1900,2400,1900
cactus nursery,EUR,2400,High,89,0.36,1.08,,,,,,1600,1900,1900,2900,2400,2400,2400,2400,2400,1900,1900,1900
flame weeder,EUR,2400,High,100,0.39,1.56,,,,,,1300,1900,1900,2400,3600,3600,3600,3600,2900,1900,1600,1000
black landscape rock,EUR,3600,High,100,0.64,3.78,,,,,,880,1000,1300,3600,6600,6600,6600,5400,4400,4400,2900,1600
home depot garden tools,EUR,2900,High,100,0.46,1.89,,,,,,1600,1300,1600,3600,5400,5400,4400,3600,3600,2900,2400,1900
bonsai nursery,EUR,1900,High,74,0.36,1.61,,,,,,1300,1300,1600,1600,2400,2400,2400,1900,1600,1600,1300,1300
electric wood chipper,EUR,2400,High,100,0.21,1.35,,,,,,1000,1000,1000,2400,2900,2900,2900,2900,2400,2400,2400,1600
site one near me,EUR,2400,Low,1,0.52,2.94,,,,,,1000,1000,1300,1900,2400,4400,3600,2400,3600,3600,2900,1600
ryobi riding lawn mower,EUR,2400,High,100,0.16,4.95,,,,,,720,880,1000,1900,3600,4400,5400,3600,2400,1900,1300,1000
garden tools list,EUR,2400,High,100,0.4,1.34,,,,,,1900,1300,1600,2900,3600,3600,2400,2900,2400,1900,1600,1600
lowes tiller,EUR,4400,High,100,0.15,0.82,,,,,,880,1600,2900,8100,12100,9900,5400,2900,2400,2400,1600,880
garden cultivator,EUR,1900,High,100,0.32,1.31,,,,,,590,880,1000,2900,4400,4400,4400,2400,1600,1300,1000,590
small tiller,EUR,2400,High,100,0.25,0.68,,,,,,590,720,1000,4400,6600,6600,4400,2400,1600,1600,1000,590
sod installation near me,EUR,2900,Medium,60,1.89,7.99,,,,,,480,880,1900,5400,6600,4400,2900,2900,2900,2900,1900,1000
concrete landscape edging,EUR,2400,High,100,0.92,3.62,,,,,,590,880,1300,2900,4400,4400,3600,3600,3600,2900,1900,1300
buy trees,EUR,2400,High,100,0.28,1.26,,,,,,1600,1300,1600,2900,4400,3600,2900,2900,2400,2400,2400,1900
garden claw,EUR,1900,High,100,0.28,0.37,,,,,,590,590,590,1900,2900,4400,2900,2400,1600,2900,1600,720
kids gardening tools,EUR,2400,High,100,0.36,1.8,,,,,,1600,880,1600,4400,8100,3600,1900,1300,880,1000,1000,1600
best backpack leaf blower,EUR,2400,High,100,0.16,0.92,,,,,,2400,880,720,1300,2400,1900,1000,880,1600,2900,5400,6600
scuffle hoe,EUR,1900,High,100,0.26,0.42,,,,,,720,720,880,2400,2900,3600,4400,4400,2400,1600,1000,720
small rototiller,EUR,2400,High,100,0.2,0.67,,,,,,390,720,720,3600,5400,6600,4400,2400,1600,1300,1000,590
hand trowel,EUR,1300,High,100,0.32,0.98,,,,,,720,720,880,1300,1600,1600,1600,1300,1300,1300,1300,1000
retaining wall contractors,EUR,2400,Medium,59,2.79,9.4,,,,,,720,1300,1600,2900,4400,2900,2900,2400,2400,1900,2400,1000
easy landscape,EUR,1900,Low,2,1.92,8.47,,,,,,880,1000,1300,1900,1600,1600,1000,1300,1600,2900,3600,2900
cherry trees for sale,EUR,1900,High,100,0.32,0.94,,,,,,720,1000,1300,2900,4400,4400,3600,2400,1600,1000,880,720
landscape architect near me,EUR,2900,Medium,47,2.24,8.84,,,,,,1000,1900,1900,2900,3600,3600,3600,3600,4400,3600,2400,1900
hand cultivator,EUR,1300,High,100,0.26,0.53,,,,,,390,480,590,1300,2400,2900,2400,1600,1000,1000,880,590
hillside landscaping,EUR,3600,Low,8,2.23,6.74,,,,,,1000,1900,1600,3600,5400,5400,5400,5400,5400,5400,4400,2900
bow rake,EUR,1900,High,100,0.27,2.25,,,,,,880,880,1000,2400,3600,2900,2400,1900,1900,1900,1600,1000
backyard patio designs,EUR,2400,High,100,1.31,4.96,,,,,,720,1300,1600,2400,2900,2400,2900,3600,2900,2400,1900,1300
grass landscape,EUR,3600,High,100,1.59,6.52,,,,,,1000,1600,1900,3600,5400,5400,5400,5400,4400,4400,4400,2400
lawn edging tool,EUR,1900,High,100,0.27,0.64,,,,,,170,170,260,1000,5400,6600,4400,1900,1600,1900,880,390
sickle tool,EUR,1600,High,100,0.23,0.38,,,,,,1600,1300,880,1300,1300,1600,1600,1600,1600,1900,2400,1600
landscaping bushes,EUR,3600,High,100,1.46,4.8,,,,,,880,1300,1300,3600,6600,6600,5400,5400,4400,3600,2900,1600
best battery powered leaf blower,EUR,1900,High,100,0.19,1.29,,,,,,1900,880,720,1600,2400,2900,2400,1600,1600,1900,2900,3600
lowes landscape edging,EUR,2900,High,100,0.31,1.34,,,,,,590,880,1300,2900,6600,5400,4400,3600,2900,2400,1600,880
small backyard designs,EUR,1900,High,100,0.27,4.09,,,,,,590,880,880,1600,2400,2400,2400,3600,2900,1900,1600,1300
troy bilt rototiller,EUR,2400,High,100,0.27,1.77,,,,,,880,1300,1600,2900,5400,5400,3600,1900,1900,1600,1300,1000
river rock prices near me,EUR,1900,High,100,1.12,2.98,,,,,,390,720,880,2400,3600,4400,3600,2900,1900,1900,1000,590
landscaping costs,EUR,3600,Low,31,0.67,3.26,,,,,,1600,1900,2400,4400,5400,5400,4400,4400,3600,2900,2400,1900
greenworks leaf blower,EUR,1900,High,100,0.31,0.94,,,,,,1600,880,880,1600,1900,1900,1900,1900,1600,2400,3600,5400
tropical landscape,EUR,1900,Low,17,1.86,6.48,,,,,,1000,1600,1600,1900,1900,1900,1900,2900,2400,2400,2400,1900
land design,EUR,2400,Low,9,2.43,8.99,,,,,,1600,2400,2400,2900,2400,1900,1900,2400,2400,2400,1900,1600
landscape nursery,EUR,2400,Low,10,1.34,6.05,,,,,,880,1300,1300,2900,4400,3600,2900,2400,2400,2400,1900,1000
manual edger,EUR,1900,High,100,0.29,0.42,,,,,,260,320,390,1300,2900,4400,3600,3600,2900,1900,1000,590
