Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
goal zero solar panel,EUR,2400,High,100,0.47,2.02,,,,,,1600,1600,1600,2400,2400,2900,2900,2900,2900,1900,2400,1600
transparent solar panels,EUR,1600,High,100,1.84,7.19,,,,,,880,880,2400,1000,1000,2400,2400,2900,1300,1900,1600,1300
best solar companies,EUR,2400,High,85,4.88,19.48,,,,,,1600,1900,1900,2400,2900,2900,2900,2900,2900,2400,2900,1900
off grid solar,EUR,1600,High,100,0.77,3.79,,,,,,1600,1600,1600,1600,1600,1600,1600,1600,1900,1600,2400,1900
free solar panels,EUR,1900,High,100,1.91,9.08,,,,,,1300,1900,1600,1600,1900,1900,1900,1900,2400,1900,1900,1300
best solar charger,EUR,1900,High,100,0.24,1.17,,,,,,1600,1000,1000,1600,2400,2400,2900,3600,2400,1900,1900,1900
mini solar panel,EUR,1600,High,100,0.49,6.03,,,,,,1300,1300,1600,1900,1600,1900,1300,1600,1300,1900,1600,1600
400 watt solar panel,EUR,2400,High,100,0.24,5.44,,,,,,1600,1900,1900,2900,2400,2400,2400,2900,2900,2400,2900,2400
rv solar,EUR,2900,High,100,0.29,1.17,,,,,,2400,2400,2900,2900,2900,3600,2900,3600,3600,2900,2900,2400
250 watt solar panel,EUR,1600,High,100,0.18,5.45,,,,,,1600,1900,1900,1900,1900,1600,1600,1900,1900,1600,1600,1300
solar panel battery charger,EUR,1900,High,100,0.28,4.47,,,,,,1600,1600,1600,1900,1900,2400,2900,2400,2400,1900,1900,1600
12v solar battery charger,EUR,2900,High,100,0.28,0.82,,,,,,3600,1900,1900,2400,2900,3600,4400,4400,3600,3600,2900,2900
tesla solar panels cost,EUR,2400,High,92,2.13,6.39,,,,,,1600,1900,1600,1900,2400,3600,1900,1900,2900,2400,2400,1600
500 watt solar panel,EUR,1900,High,100,0.15,6.04,,,,,,1600,1600,1600,1900,1600,1600,1900,2400,1900,1900,1900,1900
solar energy system,EUR,1300,High,100,2.25,8.09,,,,,,1000,1300,1600,1300,1300,1300,1000,1300,1300,1300,1300,1300
sunpower corporation,EUR,1600,Low,15,4.48,11.51,,,,,,1000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
bifacial solar panels,EUR,1600,High,100,1.87,9.51,,,,,,590,880,880,880,1300,1000,2900,1600,1600,1600,2900,1600
photovoltaic panels,EUR,1000,High,78,2.21,13.49,,,,,,880,880,1000,880,1000,1000,880,1000,1000,1600,1600,1600
best solar panels 2019,EUR,1300,High,100,2.86,9.14,,,,,,40,480,480,720,880,880,1600,2400,2900,2900,2400,1600
pv panels,EUR,1000,High,85,3.41,17.99,,,,,,880,880,880,1000,1300,1000,880,1000,1000,1000,1300,1300
pv system,EUR,1000,Low,33,1.58,17.99,,,,,,720,880,1000,1000,1000,1000,880,1000,1000,1000,1300,1300
solar trickle charger,EUR,1300,High,100,0.39,3.17,,,,,,1300,1300,1300,1300,1600,1600,1600,1600,1600,1300,1300,1600
solar panel shingles,EUR,1900,High,100,1.79,7.19,,,,,,1300,1300,1600,1600,1600,1600,1900,2400,2400,1900,1900,1900
used solar panels,EUR,1600,High,100,0.4,5.8,,,,,,1300,1600,1600,1600,1600,1900,1600,1900,1900,1900,1600,1300
1000 watt solar panel,EUR,1600,High,100,0.16,5.09,,,,,,1600,1600,1600,1600,1300,1600,1900,1900,1900,1900,1600,1600
10kw solar system,EUR,1000,High,100,1.08,6.75,,,,,,1000,1300,1300,1300,1000,880,1000,1300,1300,1300,1300,1000
solar rooftop,EUR,880,Medium,54,2.25,10.5,,,,,,590,720,720,880,880,880,880,1000,1000,880,1000,1000
go power solar,EUR,1600,High,100,0.36,5.23,,,,,,1000,1600,1600,1900,1900,1900,1900,1900,1600,1600,1600,1000
5kw solar system,EUR,880,High,100,1.44,7.19,,,,,,880,1000,1000,1000,880,880,1000,1000,1000,880,880,720
foldable solar panel,EUR,1300,High,100,0.46,3.71,,,,,,720,1000,880,880,1300,1300,1900,1300,1300,1300,1300,1300
home depot solar panels,EUR,1900,High,100,1.91,7.64,,,,,,1600,1900,1600,1900,2400,2900,2400,2400,1900,1900,1900,1600
used solar panels for sale,EUR,1300,High,100,0.77,6.48,,,,,,1300,1600,1000,1300,1300,1000,1300,1600,1300,1300,1600,1300
solar cell efficiency,EUR,1000,Low,27,0.62,6.26,,,,,,880,880,880,1000,1000,880,880,880,880,1000,1000,1000
sunpower panels,EUR,1300,High,100,2.76,10.98,,,,,,880,1000,1000,1600,1300,1300,1300,1600,1600,1600,1600,1300
tesla solar roof tiles,EUR,1300,High,77,1.18,7.76,,,,,,1000,1300,1000,1000,1300,1300,1300,1600,1600,1000,1900,1600
tesla free energy,EUR,1000,Low,4,1.84,7.17,,,,,,1300,1300,1000,1300,880,880,880,1300,880,880,880,1000
solar panel roof tiles,EUR,1300,High,100,2.08,8.99,,,,,,1000,1000,1000,1000,1300,1300,1600,1600,1600,1300,1300,1300
solar panel installers near me,EUR,1600,Low,22,4.05,19.87,,,,,,720,1000,880,880,1000,1000,1000,1900,1300,1300,3600,3600
24v solar panel,EUR,1300,High,100,0.23,4.54,,,,,,1000,1000,880,1600,1600,1600,1300,1300,1600,1300,1300,1300
average cost of solar panels,EUR,1900,Medium,51,1.97,7.28,,,,,,1000,1600,1900,1900,2400,1900,1900,1900,1900,1900,1900,1600
solar panels for home cost,EUR,2400,High,100,1.56,7.53,,,,,,1300,1600,1900,2400,2900,2900,2400,2400,2900,2400,3600,1900
lg solar,EUR,720,High,91,2.55,9.77,,,,,,480,590,720,720,720,720,720,880,880,880,880,720
anker solar charger,EUR,1000,High,100,0.17,1.87,,,,,,720,720,1000,880,1000,1600,1300,1300,1000,880,720,720
solar panels near me,EUR,1300,High,100,3.87,16.57,,,,,,720,880,1000,1300,1300,1300,1300,1600,1600,1600,1300,1000
zamp solar panels,EUR,1300,High,100,0.22,2.12,,,,,,590,720,590,880,1000,1600,2400,2400,1900,1600,1600,1300
marine solar panels,EUR,1000,High,100,0.34,4.04,,,,,,880,1000,1000,1000,1000,1300,1300,1300,1300,1000,1000,880
solar power companies,EUR,1300,High,74,3.53,15.34,,,,,,1000,1000,1300,1600,1600,1900,880,1000,1000,1000,1300,1000
ebay solar panels,EUR,1300,High,100,0.94,5.56,,,,,,1600,1600,1300,1300,1300,1300,1300,1000,1300,1300,1300,1000
costco solar panels,EUR,1300,High,100,3.35,12.64,,,,,,880,1000,1000,1600,1300,1300,1300,1600,1900,1600,1600,880
trina solar panels,EUR,720,High,100,1.06,7.43,,,,,,590,720,720,880,720,720,720,720,880,880,880,720
mini solar cell,EUR,1300,High,100,0.2,4.27,,,,,,70,90,1000,2400,1300,1600,1600,1900,1900,1300,590,480
monocrystalline,EUR,720,Medium,59,1.08,8.15,,,,,,590,720,720,720,720,720,720,720,720,880,880,880
50 watt solar panel,EUR,1000,High,100,0.35,5.22,,,,,,880,880,880,1000,1300,1300,1300,1300,1300,1000,880,880
jinko solar panels,EUR,720,High,100,1.79,7.97,,,,,,320,480,590,720,720,720,720,720,880,880,1000,720
solar powered water heater,EUR,1000,High,100,0.82,7.02,,,,,,1000,1000,1000,1000,1000,1000,880,1000,1000,1300,1600,1600
solar module,EUR,590,High,93,1.76,10.34,,,,,,480,590,590,720,590,590,480,720,720,720,720,720
thin film solar panels,EUR,880,High,100,1.51,5.81,,,,,,1000,1000,1000,880,880,880,880,880,720,1000,880,1000
solar pv system,EUR,720,High,84,2.7,11.62,,,,,,390,480,590,590,720,590,590,720,880,720,880,880
sunyee solar panel,EUR,880,High,100,0.91,6.06,,,,,,0,70,4400,1600,1000,880,590,720,590,390,390,260
gibbs energy,EUR,590,Low,0,,,,,,,,480,590,590,590,880,480,320,320,320,880,880,720
rec solar panels,EUR,880,High,100,1.99,11.39,,,,,,480,590,880,1000,1000,880,720,720,880,1000,1000,880
solar panel roads,EUR,1300,Low,28,1.99,7.61,,,,,,1000,1000,1000,1300,1300,1000,1000,1000,2400,1300,1300,1300
solar tracking system,EUR,720,High,100,1.11,4.13,,,,,,880,880,720,720,880,590,590,720,720,720,720,590
best portable solar charger,EUR,1000,High,100,0.26,1.03,,,,,,880,720,720,880,1600,1600,1300,1600,1000,880,1000,880
solar power panels,EUR,1000,High,100,2.16,8.54,,,,,,1000,1000,1000,1000,1300,1000,1000,1300,1300,1000,1300,1000
high efficiency solar panels,EUR,1300,High,100,1.46,6.7,,,,,,1000,1000,1000,1600,1300,1300,1300,1600,1300,1300,1300,1000
solar products,EUR,590,High,100,1.43,5.85,,,,,,480,590,480,720,590,590,590,720,720,880,590,590
portable solar power,EUR,1000,High,100,0.42,3.6,,,,,,720,720,720,880,880,1000,1300,1600,1300,1300,1300,880
commercial solar panels,EUR,880,High,100,3.34,12.46,,,,,,720,880,1000,880,1000,880,880,1000,880,880,1000,1000
solar battery charger for boat,EUR,1600,High,100,0.21,0.89,,,,,,590,720,880,1600,1900,2900,2900,2900,1600,1300,1000,880
home solar power system,EUR,1300,High,100,1.57,8.32,,,,,,1000,1300,1300,1300,1300,1000,1000,1300,1300,1600,1600,1300
12 volt solar charger,EUR,1300,High,100,0.23,0.82,,,,,,880,1000,1000,1600,1600,1600,1600,1300,1300,1300,1300,1300
rv solar systems,EUR,1900,High,100,0.3,1.53,,,,,,1600,1600,1900,2400,1900,1900,1600,1900,1900,1900,1600,1600
furrion solar panel,EUR,1000,High,100,0.22,4.95,,,,,,320,720,880,1300,1600,1600,1900,1600,1300,1000,880,590
solar cells for sale,EUR,880,High,100,0.58,3.97,,,,,,880,880,880,880,880,880,880,1000,880,880,720,720
amorphous solar panel,EUR,880,High,100,0.16,6.31,,,,,,390,480,1000,2400,880,880,720,880,720,880,880,590
power film solar,EUR,1000,High,100,0.14,3.43,,,,,,1300,1000,720,720,1000,880,1000,880,1000,880,1000,1300
solar panels for home use,EUR,1000,High,100,1.21,5.79,,,,,,720,720,880,880,1000,880,880,1300,1300,1300,1000,880
off grid solar power systems,EUR,1000,High,100,0.91,5.84,,,,,,1000,1300,1000,1300,880,880,1000,1000,1000,1300,1600,1000
solar energy cost,EUR,1000,Medium,34,1.83,7.99,,,,,,1000,1300,1600,1600,1600,1600,880,720,720,880,1000,1000
top solar companies,EUR,880,Medium,56,2.73,10.79,,,,,,590,880,880,880,880,880,880,1000,1000,1000,880,880
pv solar panels,EUR,720,High,100,2.8,13.37,,,,,,590,590,590,590,880,720,480,720,720,720,720,720
solar panel output,EUR,720,High,100,1.13,5.43,,,,,,590,590,720,720,880,720,720,880,880,880,880,720
free energy devices,EUR,720,High,100,0.11,3.03,,,,,,720,880,880,720,590,480,390,480,590,720,720,720
150 watt solar panel,EUR,590,High,100,0.23,5.34,,,,,,590,720,720,720,590,590,720,720,590,590,590,590
pv cell,EUR,590,Medium,45,1.01,8.99,,,,,,590,480,720,720,880,720,390,390,390,590,880,720
solar panel companies near me,EUR,1000,High,73,4.32,17.99,,,,,,720,1000,1000,1000,1000,1000,1000,1000,1300,1300,1300,1000
folding solar panels,EUR,720,High,100,0.44,3.1,,,,,,480,880,590,590,720,720,720,1000,720,720,720,590
solar energy world,EUR,880,Medium,39,3.23,12.13,,,,,,590,720,880,720,720,880,880,1000,1000,1000,1000,880
solar panel wattage,EUR,880,High,100,1.74,8.22,,,,,,720,720,880,880,880,880,720,1000,880,880,1000,880
portable solar panels for rv,EUR,1300,High,100,0.37,2.5,,,,,,880,1300,1300,1600,1600,1600,1900,1600,1600,1300,1000,880
off grid solar system packages,EUR,880,High,100,0.82,4.16,,,,,,590,880,880,720,720,720,880,880,880,880,880,480
1kw solar panel,EUR,590,High,100,0.9,6.92,,,,,,480,590,480,590,590,590,590,720,720,590,480,480
solar panel portable charger,EUR,1000,High,100,0.29,2.68,,,,,,880,720,720,880,1000,1000,1300,1300,1000,1000,880,720
solaria solar panels,EUR,880,High,100,0.91,9.64,,,,,,480,720,880,1000,880,880,720,880,1000,1000,1300,880
solar thermal panels,EUR,590,High,100,1.06,5.89,,,,,,590,590,720,720,590,590,480,480,590,720,880,880
grid tied solar system,EUR,880,High,100,1,4.56,,,,,,720,880,880,880,880,720,880,1000,1300,880,1000,880
harbor freight solar,EUR,1000,High,100,0.5,6.34,,,,,,880,880,720,880,880,1000,1000,1300,1000,1000,880,880
solar powered rv,EUR,1600,High,100,0.31,1.22,,,,,,1300,1300,1300,1600,1600,1900,1900,1900,1900,1600,1300,1000
solar plate,EUR,390,High,100,1.52,7.12,,,,,,260,320,320,390,390,390,390,390,390,320,390,320
10 watt solar panel,EUR,720,High,100,0.39,4.48,,,,,,590,720,590,720,720,880,1000,880,720,590,720,590
cost of solar panels per square foot,EUR,880,High,100,1.8,7.72,,,,,,590,720,880,720,720,1000,1000,1000,1000,1000,1300,880
nikola tesla free energy,EUR,590,Low,1,,,,,,,,320,720,720,590,720,480,590,720,720,590,590,480
solar panel heater,EUR,1000,High,100,0.76,5.4,,,,,,1300,1600,1300,1000,720,720,590,720,880,1000,1600,1900
sunpower solar panels for sale,EUR,720,High,100,1.99,9.15,,,,,,720,880,880,880,720,720,720,720,720,720,720,480
solar system cost,EUR,720,High,100,2.16,9.94,,,,,,590,880,880,880,880,720,720,880,880,880,880,720
solar installation cost,EUR,1000,Medium,62,3.74,13.28,,,,,,720,880,880,1000,1000,1000,1000,1300,1300,1000,1000,880
portable solar,EUR,720,High,100,0.34,2.7,,,,,,590,480,720,720,720,720,880,880,720,720,720,590
sunrun solar panels,EUR,880,Medium,64,4.22,14.39,,,,,,320,320,480,480,590,880,1000,1300,1900,1000,1000,880
solar installation companies,EUR,880,Low,7,4.95,20.76,,,,,,480,480,590,720,880,1300,210,390,720,880,2400,2400
solar panel cost per watt,EUR,720,High,100,2.22,7.94,,,,,,590,590,720,720,720,720,720,720,720,880,880,720
solar price,EUR,390,High,81,2.55,8.53,,,,,,260,390,320,390,390,390,390,480,480,390,480,390
rv solar battery charger,EUR,1600,High,100,0.23,1.14,,,,,,1000,1000,1000,1300,1600,1900,1900,1900,1900,1600,1600,1300
delta g chemistry,EUR,720,Low,0,,,,,,,,720,480,720,1000,1600,1000,320,320,320,720,1000,1000
on grid solar system,EUR,390,High,100,1.68,9.16,,,,,,260,320,390,390,320,390,320,480,390,320,390,320
solar system price,EUR,320,High,100,1.98,9.37,,,,,,320,320,320,320,320,390,390,390,320,320,320,320
coleman solar panel,EUR,590,High,100,0.24,5.6,,,,,,590,590,590,720,590,590,720,720,720,590,480,390
20 watt solar panel,EUR,590,High,100,0.24,4.78,,,,,,480,590,590,590,720,880,720,880,720,590,590,480
solar panels for sale near me,EUR,720,High,100,2.29,11.39,,,,,,480,720,720,720,880,720,720,880,880,720,880,720
van solar panels,EUR,1000,High,100,0.31,4.55,,,,,,720,880,880,1000,1000,1000,1300,1300,1300,1000,1000,1000
solar powered house,EUR,880,High,92,1.72,8.41,,,,,,720,880,880,880,880,720,720,1000,1000,1300,1000,1000
photovoltaic solar panels,EUR,590,High,85,2.7,13.85,,,,,,390,320,390,480,590,590,590,880,720,720,720,880
best portable solar panels,EUR,720,High,100,0.25,4.95,,,,,,480,720,590,720,590,720,880,1000,720,590,720,590
sun tracking solar panel,EUR,590,High,100,1.04,4.19,,,,,,480,480,480,590,720,590,480,590,590,720,590,480
q cell solar panels,EUR,720,High,100,1.62,7.53,,,,,,480,590,720,720,720,880,720,880,1000,1300,1000,590
solar panel water heater,EUR,1000,High,100,1.1,8.09,,,,,,880,1300,1000,1300,1000,1000,1000,1000,1000,1000,1300,1000
polycrystalline solar panel,EUR,480,High,100,1.52,7.19,,,,,,320,320,320,480,480,390,320,480,590,590,720,720
hanwha solar panels,EUR,720,High,100,1.65,6.8,,,,,,320,590,720,720,720,720,720,880,880,880,880,590
solar electric system,EUR,590,High,100,1.98,8.09,,,,,,390,590,720,720,590,480,480,590,480,720,880,590
ground mounted solar panels,EUR,880,High,100,1.26,7.19,,,,,,480,590,720,880,880,880,880,1000,1300,1300,1300,1000
solar power cost,EUR,720,High,98,1.98,8.63,,,,,,720,880,880,880,880,720,720,590,590,720,880,720
6v solar panel,EUR,590,High,100,0.24,4.06,,,,,,480,590,590,590,480,390,390,590,590,720,720,480
solar system for house,EUR,590,High,100,1.51,8.22,,,,,,480,720,590,720,590,720,720,720,720,720,590,590
cheap solar panels for sale,EUR,880,High,100,1.43,7.47,,,,,,720,720,880,1000,1300,1000,1000,1000,880,880,880,720
standard free energy,EUR,480,Low,0,,,,,,,,390,390,590,590,880,480,210,320,320,720,720,590
walmart solar panels,EUR,880,High,100,0.79,6.74,,,,,,720,590,590,880,1000,1000,880,1000,1600,1000,1000,720
local solar companies,EUR,720,Low,8,4.28,20.59,,,,,,390,320,390,390,390,320,390,390,390,390,2400,2400
solar equipment,EUR,480,High,100,1.35,6.3,,,,,,480,590,480,590,590,880,320,480,480,390,390,320
350 watt solar panel,EUR,590,High,100,0.54,5.18,,,,,,480,590,590,590,720,590,590,590,590,480,590,480
solar power for camping,EUR,1000,High,100,0.42,3.7,,,,,,720,880,880,1000,1000,1300,1600,1600,1300,1000,1000,590
solar hot water panels,EUR,720,High,100,1,5.81,,,,,,590,720,720,880,880,720,590,880,590,720,880,720
negative delta g,EUR,590,Low,0,,,,,,,,480,480,880,720,1000,590,260,320,320,880,1000,720
