Keywords,"Search Volume (Average)","Search Volume (Jan 2019)","Search Volume (Feb 2019)","Search Volume (Mar 2019)","Search Volume (Apr 2019)","Search Volume (May 2019)","Search Volume (Jun 2019)","Search Volume (Jul 2019)","Search Volume (Aug 2019)","Search Volume (Sep 2019)","Search Volume (Oct 2019)","Search Volume (Nov 2019)","Search Volume (Dec 2019)",Trend,"CPC (USD)",Competition
"2016 cadillac cts",9900,8100,8100,9900,9900,12100,9900,12100,14800,12100,9900,9900,9900,22,1.79,26
"mattel stock",9900,9900,22200,8100,12100,9900,12100,9900,12100,6600,9900,8100,9900,0,1.70,2
"federal direct unsubsidized loan",9900,6600,6600,9900,12100,9900,12100,18100,18100,6600,3600,3600,6600,0,11.32,10
"how to lose 10 pounds in 2 weeks",9900,6600,6600,12100,9900,9900,12100,14800,9900,8100,9900,8100,8100,23,4.06,9
"sunrun stock",9900,8100,12100,9900,9900,12100,9900,12100,14800,8100,9900,12100,8100,0,4.22,1
"medicare donut hole",9900,8100,6600,8100,8100,8100,8100,9900,12100,9900,14800,12100,9900,22,2.70,22
"used nissan leaf",9900,8100,6600,9900,8100,9900,9900,9900,9900,12100,9900,8100,8100,0,3.08,56
"wmt stock price today",9900,12100,9900,9900,12100,9900,12100,9900,12100,9900,12100,9900,8100,-33,0.53,0
"best stocks for 2019",9900,33100,18100,22200,12100,6600,4400,8100,2900,1900,2400,2400,1900,-94,1.88,29
"1980s fashion womens",9900,8100,8100,8100,8100,9900,6600,8100,9900,14800,18100,8100,8100,0,0.40,100
"mercedes g wagon used",9900,9900,8100,9900,9900,9900,9900,9900,9900,8100,8100,6600,8100,-18,3.48,86
"berkshire hathaway stock price",9900,9900,12100,9900,9900,12100,8100,8100,8100,8100,8100,9900,9900,0,2.65,1
"j crew coupon",9900,9900,6600,8100,9900,9900,9900,8100,8100,6600,9900,12100,9900,0,3.72,100
"discount codes",9900,9900,8100,9900,9900,9900,9900,9900,9900,9900,12100,14800,14800,49,3.25,92
"chanel clothing",9900,9900,12100,9900,8100,8100,8100,8100,8100,8100,9900,9900,12100,22,0.73,100
"2015 bmw 328i",9900,12100,12100,14800,12100,12100,9900,9900,9900,9900,9900,8100,8100,-33,2.16,24
"michaels 40 off coupon",9900,9900,12100,9900,9900,12100,8100,9900,12100,12100,8100,9900,12100,22,0.11,31
"intuitive surgical stock",9900,12100,9900,9900,14800,9900,9900,9900,9900,8100,12100,8100,8100,-33,2.45,3
"pencil dress",9900,12100,9900,12100,12100,12100,9900,9900,9900,9900,9900,8100,8100,-33,0.96,100
"motorcycle accident lawyer",9900,3600,8100,4400,9900,9900,4400,12100,18100,12100,14800,14800,18100,403,165.83,13
"doordash promo code reddit",9900,9900,5400,8100,9900,6600,6600,8100,9900,9900,12100,9900,9900,0,3.83,3
"motorcycle accident attorney",9900,5400,8100,6600,8100,8100,3600,8100,14800,12100,14800,12100,14800,174,49.24,12
"sage green bridesmaid dresses",9900,12100,9900,9900,8100,8100,8100,9900,9900,9900,9900,8100,8100,-33,1.79,100
"asymmetrical dress",9900,8100,8100,9900,12100,9900,9900,9900,9900,9900,8100,6600,5400,-33,1.24,100
"wish clothing",9900,8100,8100,9900,9900,9900,9900,12100,12100,12100,9900,9900,6600,-19,0.86,100
"brz for sale",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,-18,1.21,63
"greensky financing",9900,8100,9900,9900,8100,12100,9900,9900,9900,9900,9900,9900,9900,22,5.84,4
"nike golf pants",9900,8100,8100,12100,14800,12100,9900,8100,9900,8100,9900,8100,9900,22,1.41,100
"white linen pants",9900,4400,5400,9900,14800,18100,18100,18100,12100,5400,3600,2400,2900,-34,1.66,100
"best winter coats",9900,14800,6600,3600,1600,1300,1600,2400,5400,8100,22200,40500,18100,22,2.51,100
"red puffer jacket",9900,14800,9900,5400,1900,1600,1300,1900,2900,4400,12100,22200,27100,83,1.01,100
"owner finance homes",9900,12100,12100,9900,9900,9900,9900,9900,9900,8100,9900,8100,8100,-33,1.37,65
"bdu pants",9900,12100,9900,9900,9900,9900,8100,9900,9900,9900,9900,9900,8100,-33,1.59,100
"allstate insurance near me",9900,8100,5400,8100,12100,12100,12100,12100,12100,9900,9900,12100,12100,49,21.68,35
"dickies cargo pants",9900,9900,8100,9900,9900,8100,8100,9900,12100,9900,12100,14800,14800,49,2.13,100
enteral,9900,9900,9900,9900,9900,8100,8100,8100,8100,12100,12100,9900,8100,-18,8.55,0
"2016 lexus es 350",9900,9900,9900,12100,12100,12100,9900,9900,9900,9900,12100,9900,8100,-18,2.56,28
"olive garden coupons 2019",9900,6600,14800,12100,6600,12100,8100,8100,14800,8100,6600,6600,8100,23,0.51,12
"cheap all inclusive vacations",9900,18100,18100,14800,9900,12100,9900,9900,6600,5400,6600,6600,8100,-55,2.38,76
"burberry dress",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,0,1.95,100
"blackstone stock",9900,9900,6600,8100,14800,8100,12100,12100,8100,9900,9900,8100,8100,-18,1.90,2
"namecheap promo code",8100,9900,8100,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,-33,1.62,20
"ibb stock",8100,12100,8100,9900,9900,8100,9900,9900,6600,5400,6600,8100,9900,-18,3.93,1
"grunge fashion",8100,8100,8100,9900,8100,8100,6600,8100,8100,8100,8100,6600,6600,-19,0.51,86
"plus size burgundy dress",8100,8100,6600,8100,6600,6600,6600,8100,12100,12100,9900,6600,4400,-46,1.17,100
"2007 jeep commander",8100,8100,8100,9900,8100,8100,8100,8100,8100,6600,8100,8100,8100,0,0.67,36
"walmart grocery pickup promo code",8100,8100,5400,5400,5400,6600,8100,9900,9900,9900,9900,12100,9900,22,1.01,14
"at&t stock dividend",8100,9900,8100,8100,9900,6600,6600,8100,6600,8100,8100,6600,5400,-45,1.76,7
"steal her style",8100,9900,8100,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,-33,0.68,4
"atom promo code",8100,12100,6600,9900,18100,9900,9900,12100,6600,5400,6600,4400,5400,-55,5.08,15
"office equipment",8100,14800,12100,14800,14800,14800,8100,4400,4400,4400,4400,4400,4400,-70,5.23,100
"retro dress",8100,9900,9900,12100,9900,9900,8100,8100,8100,9900,8100,6600,6600,-33,0.89,100
"cvrs stock",8100,5400,4400,18100,9900,14800,9900,14800,12100,1900,2400,1600,1000,-81,8.74,3
"roof solar panels",8100,8100,8100,9900,9900,9900,8100,9900,9900,8100,9900,8100,8100,0,5.08,100
"mux stock",8100,8100,8100,8100,6600,6600,8100,8100,12100,8100,6600,6600,8100,0,0.23,0
"oatmeal nutrition facts",8100,12100,9900,9900,8100,8100,5400,6600,4400,5400,6600,6600,6600,-45,0.82,1
"coat sale",8100,14800,9900,6600,2400,1300,1000,1600,2400,2900,9900,22200,14800,0,1.66,100
"noodles and company coupons",8100,9900,9900,9900,9900,9900,8100,8100,8100,8100,8100,6600,5400,-45,2.76,3
"old navy jackets",8100,9900,8100,8100,5400,3600,1900,2400,4400,5400,12100,18100,14800,49,0.42,100
"wish free shipping code",8100,8100,6600,4400,6600,8100,6600,8100,9900,12100,12100,12100,9900,22,1.79,23
"columbia winter coats",8100,18100,9900,6600,1900,1600,880,1900,3600,6600,18100,22200,12100,-33,1.35,100
"american motors",8100,8100,8100,8100,6600,6600,6600,8100,8100,8100,6600,6600,6600,-19,1.14,6
"long evening dress",8100,9900,9900,9900,8100,8100,8100,8100,8100,8100,9900,8100,4400,-56,0.92,100
"white lace maxi dress",8100,8100,9900,9900,12100,9900,9900,9900,9900,8100,5400,3600,3600,-56,0.81,100
"symantec stock",8100,5400,6600,4400,5400,12100,6600,27100,18100,6600,3600,5400,2900,-46,2.15,0
"dickies jeans",8100,8100,6600,8100,6600,8100,6600,6600,8100,6600,9900,9900,9900,22,1.37,100
"zg stock",8100,4400,9900,5400,4400,12100,8100,8100,12100,6600,6600,12100,6600,50,4.37,0
"fashion nova prom dresses",8100,8100,12100,14800,22200,12100,3600,2400,2400,4400,3600,3600,3600,-56,0.35,100
"2017 subaru crosstrek",8100,8100,6600,8100,8100,6600,8100,8100,8100,8100,8100,8100,6600,-19,3.29,29
"greensky credit",8100,9900,6600,8100,8100,9900,9900,8100,9900,8100,8100,6600,6600,-33,4.26,3
"bep stock",8100,6600,6600,8100,8100,6600,8100,8100,8100,8100,9900,9900,9900,50,0.32,0
"guest chairs",8100,9900,8100,6600,6600,5400,5400,8100,8100,8100,8100,6600,6600,-33,3.48,100
"papa johns promo codes 50 off entire meal",8100,8100,8100,6600,6600,8100,8100,8100,8100,8100,8100,9900,9900,22,0.81,8
"maroon bridesmaid dresses",8100,14800,9900,8100,8100,6600,6600,8100,8100,8100,8100,5400,5400,-64,0.90,100
"classic muscle cars for sale",8100,5400,5400,6600,6600,9900,12100,8100,8100,12100,6600,5400,5400,0,0.68,64
"office depot printing coupon",8100,8100,6600,8100,8100,8100,8100,9900,9900,8100,8100,8100,8100,0,1.55,50
"rrd stock",8100,5400,5400,4400,4400,9900,9900,12100,9900,12100,12100,6600,5400,0,4.63,1
"black ball gown",8100,12100,9900,8100,6600,6600,5400,5400,8100,9900,9900,8100,6600,-45,0.82,100
"plus size formal party dresses",8100,9900,9900,9900,8100,8100,6600,6600,8100,8100,6600,6600,4400,-56,0.93,100
"subprime mortgage",8100,6600,8100,9900,9900,8100,5400,6600,6600,6600,8100,8100,8100,23,5.41,19
"car insurance cost",8100,3600,4400,5400,8100,8100,6600,12100,14800,9900,14800,6600,8100,125,34.85,70
"valentin imperial maya",8100,12100,9900,9900,9900,8100,9900,8100,8100,6600,6600,6600,8100,-33,2.25,41
"the general insurance quote",8100,6600,5400,12100,18100,4400,5400,18100,4400,3600,8100,12100,2400,-64,22.97,71
"fis stock",8100,5400,6600,12100,8100,6600,5400,8100,14800,8100,8100,9900,8100,50,1.91,0
"off white sweater",8100,9900,8100,8100,5400,5400,4400,4400,6600,8100,12100,14800,14800,49,1.13,100
"remodeling contractors",8100,6600,8100,8100,9900,8100,8100,8100,9900,8100,8100,8100,8100,23,10.63,46
"saex stock",8100,27100,9900,18100,14800,6600,2900,1300,1900,2900,1300,8100,2900,-89,,0
"mitsubishi evo for sale",8100,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,5400,6600,-19,0.77,50
"maxi romper",8100,5400,6600,9900,14800,14800,12100,8100,6600,3600,2400,1600,1300,-76,0.88,100
"2009 jeep wrangler",8100,8100,8100,8100,9900,8100,9900,9900,9900,8100,6600,8100,6600,-19,0.87,46
"butterfly dress",8100,6600,6600,9900,12100,12100,9900,9900,9900,9900,8100,5400,5400,-18,0.90,100
"taco bell soft taco",6600,6600,6600,8100,8100,8100,6600,6600,6600,5400,5400,4400,4400,-33,0.32,0
"bicycle shorts",6600,4400,4400,6600,9900,9900,12100,9900,8100,5400,3600,2900,2900,-34,1.57,100
"kate spade promo code",6600,3600,5400,12100,6600,6600,4400,1900,6600,6600,2400,14800,14800,311,1.11,100
ourisman,6600,6600,5400,5400,5400,6600,6600,6600,6600,5400,5400,5400,5400,-18,4.89,3
"dupont stock",6600,5400,4400,4400,6600,4400,12100,6600,6600,5400,5400,6600,12100,124,7.58,13
"how to lose belly fat quickly",6600,5400,6600,5400,6600,8100,8100,6600,6600,6600,5400,4400,5400,0,2.37,65
"pink sequin dress",6600,8100,6600,6600,5400,5400,4400,4400,5400,8100,8100,8100,8100,0,1.13,100
"progressive car insurance quote",6600,6600,6600,6600,6600,6600,6600,8100,8100,6600,8100,6600,6600,0,7.32,44
"target computer desk",6600,6600,6600,8100,5400,6600,6600,6600,8100,6600,5400,6600,8100,23,0.75,100
"used volkswagen",6600,6600,6600,8100,6600,8100,6600,8100,8100,6600,6600,5400,5400,-18,6.97,59
"vig stock",6600,6600,5400,5400,5400,5400,5400,6600,9900,8100,8100,8100,8100,23,9.42,4
"spyder clothing",6600,8100,5400,5400,2900,2900,1900,2900,4400,5400,9900,12100,14800,83,0.77,100
"cheap home insurance",6600,5400,5400,6600,6600,6600,6600,8100,6600,5400,5400,5400,8100,50,42.00,91
"2007 lexus",6600,6600,5400,8100,6600,6600,6600,6600,8100,6600,6600,5400,6600,0,1.67,4
"janie and jack coupon",6600,6600,4400,4400,3600,2900,5400,6600,6600,6600,6600,12100,8100,23,0.64,100
"chanel jacket",6600,8100,8100,8100,6600,5400,4400,4400,5400,6600,8100,8100,9900,22,1.22,100
"lulus homecoming dresses",6600,1600,880,720,880,1300,1000,2900,14800,33100,9900,1900,1300,-19,0.26,100
"collision insurance",6600,6600,5400,6600,6600,6600,5400,5400,5400,5400,6600,8100,12100,83,11.19,27
"kndi stock",6600,8100,27100,18100,6600,5400,3600,3600,2900,2400,2900,2400,2900,-64,,0
"solar installation",6600,5400,6600,6600,6600,8100,5400,6600,8100,8100,9900,8100,8100,50,15.85,30
"macys online coupon",6600,9900,5400,5400,6600,6600,5400,5400,5400,4400,5400,12100,14800,49,1.53,100
"cars for sale under 2000",6600,5400,8100,9900,6600,6600,6600,8100,8100,6600,6600,6600,6600,22,1.32,100
"pakistani wedding dresses",6600,9900,6600,8100,6600,5400,6600,6600,5400,5400,6600,5400,5400,-45,0.36,100
"bath and beyond coupon",6600,6600,5400,5400,4400,5400,5400,6600,6600,5400,5400,8100,9900,50,0.49,83
"qrvo stock",6600,5400,5400,3600,4400,8100,3600,5400,5400,3600,5400,14800,12100,124,3.34,1
myallstate,6600,6600,5400,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,0,10.06,1
"bgs stock",6600,2900,5400,4400,2900,5400,4400,6600,8100,6600,12100,9900,8100,179,,0
"audi rs3 for sale",6600,6600,5400,6600,6600,6600,5400,5400,5400,5400,5400,5400,5400,-18,1.37,28
"keto cake recipe",6600,6600,6600,6600,6600,6600,6600,8100,8100,8100,6600,5400,4400,-33,0.71,13
"running pants",6600,12100,8100,8100,6600,4400,3600,3600,3600,4400,8100,12100,9900,-18,1.90,100
"fashion nova shoes",6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,8100,8100,6600,0,0.68,100
"amica home insurance",6600,6600,5400,6600,6600,6600,6600,8100,8100,5400,5400,5400,4400,-33,28.88,60
"hot stocks",6600,8100,9900,9900,8100,5400,5400,6600,6600,6600,6600,6600,6600,-19,1.84,42
"jeep comanche for sale",6600,6600,5400,6600,6600,8100,6600,5400,6600,5400,6600,5400,5400,-18,0.92,94
"yahoo portfolio",6600,6600,6600,6600,6600,5400,6600,6600,6600,6600,6600,6600,6600,0,3.77,1
"bitcoin stock price",6600,6600,4400,3600,5400,8100,9900,8100,6600,5400,5400,5400,5400,-18,3.97,15
"kdp stock",6600,9900,9900,8100,8100,8100,6600,5400,6600,5400,5400,6600,5400,-45,2.07,0
"2008 lexus gs 350",6600,6600,6600,6600,5400,6600,5400,6600,8100,6600,6600,5400,5400,-18,0.90,27
"emerald green bridesmaid dresses",6600,8100,5400,5400,5400,4400,5400,6600,6600,6600,6600,8100,6600,-19,1.45,100
"venom t shirt",6600,12100,8100,8100,8100,5400,6600,8100,8100,6600,8100,5400,6600,-45,0.57,100
"well stock",6600,5400,5400,5400,5400,5400,5400,6600,6600,5400,6600,6600,6600,22,3.08,1
"homecoming dress stores",6600,1300,880,590,590,590,590,1900,18100,40500,9900,880,590,-55,0.87,100
"christian health insurance",6600,8100,6600,5400,5400,6600,6600,5400,6600,6600,9900,9900,8100,0,12.73,93
"bed bath and beyond coupon $15 off $50",6600,9900,6600,8100,6600,4400,3600,6600,6600,4400,6600,4400,8100,-18,0.48,96
"bmw m2 for sale",6600,8100,6600,8100,8100,8100,6600,6600,8100,6600,6600,6600,6600,-19,2.28,41
"yellow wedding dress",6600,8100,8100,8100,8100,8100,6600,6600,6600,6600,5400,5400,4400,-46,0.39,100
"birkenstock promo code",6600,6600,8100,9900,6600,8100,8100,8100,6600,3600,2400,2900,5400,-18,2.88,100
"pvh stock",6600,5400,2400,12100,4400,12100,6600,5400,9900,6600,3600,8100,3600,-33,0.85,0
"challenger hellcat for sale",6600,6600,8100,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,0,1.37,66
"2016 bmw m5",6600,3600,4400,6600,5400,6600,8100,8100,8100,5400,6600,6600,5400,50,1.57,21
"cheap flights to anywhere",6600,6600,6600,8100,6600,6600,6600,6600,5400,4400,5400,5400,6600,0,0.73,27
"urban outfitters dresses",6600,5400,5400,6600,8100,8100,5400,5400,5400,6600,5400,4400,5400,0,0.21,100
"shiny leggings",6600,9900,6600,6600,5400,5400,3600,3600,4400,6600,12100,9900,12100,22,1.65,100
"jeep liberty for sale",6600,6600,8100,8100,8100,8100,6600,8100,8100,6600,6600,5400,5400,-18,1.37,64
"used volvo xc60",6600,6600,5400,6600,5400,6600,6600,6600,6600,6600,6600,5400,5400,-18,7.73,68
"noah clothing",6600,5400,6600,6600,6600,6600,5400,4400,6600,12100,8100,8100,8100,50,1.44,73
"jeep patriot for sale",6600,8100,8100,8100,6600,8100,6600,8100,6600,6600,5400,5400,4400,-46,1.87,64
"used cars under 2000",6600,6600,8100,8100,6600,5400,6600,6600,6600,5400,5400,5400,5400,-18,1.83,93
"brand marketing",5400,5400,5400,5400,5400,5400,4400,5400,6600,6600,6600,6600,5400,0,6.61,40
"pnina tornai wedding dresses",5400,14800,6600,5400,4400,5400,3600,4400,8100,6600,3600,2900,3600,-76,0.31,100
"design build",5400,5400,6600,5400,5400,5400,4400,4400,5400,5400,5400,4400,4400,-19,4.88,9
"barnes & noble coupon",5400,5400,4400,4400,4400,3600,3600,3600,4400,4400,4400,5400,12100,124,0.55,36
"mini backhoe",5400,4400,4400,5400,6600,6600,5400,4400,4400,4400,3600,5400,3600,-18,0.78,100
"romwe fashion",5400,3600,4400,5400,5400,5400,6600,6600,5400,4400,4400,5400,3600,0,0.42,100
"geico 1800",5400,5400,4400,5400,5400,5400,4400,5400,5400,5400,5400,5400,4400,-19,7.43,3
"ford pinto for sale",5400,5400,4400,5400,4400,4400,4400,8100,5400,5400,5400,4400,4400,-19,0.35,96
"prana clothing",5400,6600,5400,6600,6600,6600,3600,4400,4400,4400,4400,5400,4400,-33,0.83,100
"merchant cash advance",5400,5400,5400,5400,6600,5400,5400,6600,5400,5400,6600,5400,5400,0,22.28,0
"eb stock",5400,2900,2400,14800,8100,14800,4400,3600,6600,2900,2400,6600,2400,-17,,0
"keto pizza sauce",5400,12100,6600,6600,5400,4400,4400,4400,5400,4400,4400,2900,2400,-80,0.24,100
"jordan sweatshirt",5400,6600,6600,5400,2900,2900,1900,2900,3600,4400,6600,12100,14800,124,0.85,100
"quick loans for bad credit",5400,5400,2900,3600,4400,6600,4400,5400,6600,5400,5400,5400,8100,50,6.25,14
"two piece sets boutique",5400,5400,5400,8100,8100,6600,6600,5400,3600,2900,3600,2400,1900,-65,0.74,100
"bad credit car lots",5400,5400,6600,6600,5400,5400,4400,5400,6600,5400,5400,5400,5400,0,16.00,85
"scotts miracle gro stock",5400,8100,6600,8100,6600,5400,4400,5400,6600,4400,3600,3600,2900,-64,8.30,4
"ford ranger 4x4",5400,6600,8100,8100,6600,5400,5400,5400,5400,5400,5400,5400,4400,-33,3.98,63
"urbn stock",5400,3600,4400,9900,5400,9900,2900,2400,9900,3600,2900,9900,2400,-33,,0
"plum bridesmaid dresses",5400,8100,6600,6600,4400,3600,4400,4400,5400,4400,4400,3600,2900,-64,1.17,100
"total wine promo code",5400,3600,3600,3600,4400,4400,4400,4400,4400,4400,5400,6600,14800,311,3.34,32
"e renters insurance",5400,4400,4400,4400,4400,6600,8100,6600,8100,5400,5400,4400,3600,-18,12.60,58
"1968 camaro ss",5400,5400,4400,6600,6600,6600,5400,6600,6600,6600,5400,4400,4400,-19,0.11,81
"online dress stores",5400,6600,6600,8100,8100,6600,4400,5400,5400,8100,5400,5400,3600,-45,1.21,100
"lawn cart",5400,3600,2900,8100,12100,9900,8100,5400,5400,5400,3600,2900,2400,-33,0.92,100
"celery nutrition facts",5400,8100,8100,8100,5400,4400,4400,4400,4400,4400,4400,4400,4400,-46,0.25,1
"simple desk",5400,6600,4400,4400,4400,4400,5400,6600,6600,5400,4400,5400,6600,0,1.33,100
"most popular clothing stores",5400,3600,260,4400,12100,2400,880,14800,12100,5400,1300,1600,720,-80,1.46,100
"enterprise car rental promo code",5400,3600,4400,5400,5400,5400,6600,6600,5400,5400,5400,4400,4400,22,1.08,35
"used honda crv for sale",5400,4400,4400,4400,4400,6600,6600,6600,8100,6600,6600,6600,6600,50,5.03,81
"jcpenney salon coupons",5400,5400,4400,5400,4400,5400,4400,5400,8100,5400,4400,6600,6600,22,0.38,87
"office credenza",5400,6600,5400,5400,5400,6600,4400,4400,5400,5400,5400,4400,4400,-33,2.93,100
