Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
acura dealership,USD,N/A,"10,000","100,000",Low,27,2.12,7.76,,,,,,,,,,,,,,,,,
gmc dealer near me,USD,N/A,"10,000","100,000",Medium,45,1.55,6.8,,,,,,,,,,,,,,,,,
toyota venza,USD,N/A,"10,000","100,000",Low,16,0.34,1.69,,,,,,,,,,,,,,,,,
cars for sale by owner,USD,N/A,"10,000","100,000",High,74,0.55,2.31,,,,,,,,,,,,,,,,,
used trucks,USD,N/A,"10,000","100,000",High,88,1.11,3.47,,,,,,,,,,,,,,,,,
suv for sale,USD,N/A,"10,000","100,000",High,83,1.55,9.43,,,,,,,,,,,,,,,,,
mazda dealership near me,USD,N/A,"10,000","100,000",Medium,45,4,10,,,,,,,,,,,,,,,,,
dodge caliber,USD,N/A,"10,000","100,000",Low,6,0.37,1.58,,,,,,,,,,,,,,,,,
bmw 335i,USD,N/A,"10,000","100,000",Low,21,0.44,1.35,,,,,,,,,,,,,,,,,
chevrolet dealer near me,USD,N/A,"10,000","100,000",Medium,50,2.29,8.19,,,,,,,,,,,,,,,,,
vw dealership,USD,N/A,"10,000","100,000",Medium,34,2.62,9.42,,,,,,,,,,,,,,,,,
craigslist cars for sale,USD,N/A,"10,000","100,000",Low,23,0.48,2.13,,,,,,,,,,,,,,,,,
honda near me,USD,N/A,"10,000","100,000",Low,32,2.46,8.19,,,,,,,,,,,,,,,,,
volvo dealership,USD,N/A,"10,000","100,000",Low,20,1.73,7.06,,,,,,,,,,,,,,,,,
toyota supra for sale,USD,N/A,"10,000","100,000",High,80,0.47,5.15,,,,,,,,,,,,,,,,,
tesla dealership,USD,N/A,"10,000","100,000",Low,7,1.42,24,,,,,,,,,,,,,,,,,
subaru baja,USD,N/A,"10,000","100,000",Low,11,0.34,4.13,,,,,,,,,,,,,,,,,
mini cooper for sale,USD,N/A,"10,000","100,000",High,100,0.52,2.69,,,,,,,,,,,,,,,,,
infiniti g37,USD,N/A,"10,000","100,000",Low,13,0.38,1.65,,,,,,,,,,,,,,,,,
acura tsx,USD,N/A,"10,000","100,000",Low,15,1.02,4.2,,,,,,,,,,,,,,,,,
bmw dealer near me,USD,N/A,"10,000","100,000",Low,24,2.7,8.18,,,,,,,,,,,,,,,,,
tesla for sale,USD,N/A,"10,000","100,000",High,73,0.21,0.92,,,,,,,,,,,,,,,,,
2016 honda accord,USD,N/A,"10,000","100,000",Low,30,0.96,4.48,,,,,,,,,,,,,,,,,
buy used cars,USD,N/A,"10,000","100,000",High,82,1.9,7.02,,,,,,,,,,,,,,,,,
mitsubishi dealer,USD,N/A,"10,000","100,000",Low,19,1.01,6.35,,,,,,,,,,,,,,,,,
mustang for sale,USD,N/A,"10,000","100,000",High,93,0.55,3.02,,,,,,,,,,,,,,,,,
pontiac g6,USD,N/A,"10,000","100,000",Low,6,0.34,1.42,,,,,,,,,,,,,,,,,
us auto sales,USD,N/A,"10,000","100,000",Low,14,1.54,6.3,,,,,,,,,,,,,,,,,
nissan gtr for sale,USD,N/A,"10,000","100,000",High,68,0.21,2.39,,,,,,,,,,,,,,,,,
lincoln dealership,USD,N/A,"10,000","100,000",Low,32,1.3,6.82,,,,,,,,,,,,,,,,,
infiniti dealership,USD,N/A,"10,000","100,000",Low,33,2.08,11.29,,,,,,,,,,,,,,,,,
dodge charger for sale,USD,N/A,"10,000","100,000",High,86,0.96,4.8,,,,,,,,,,,,,,,,,
camaro for sale,USD,N/A,"10,000","100,000",High,90,0.47,3.43,,,,,,,,,,,,,,,,,
nissan cube,USD,N/A,"10,000","100,000",Low,7,0.34,2.81,,,,,,,,,,,,,,,,,
cadillac srx,USD,N/A,"10,000","100,000",Low,19,0.54,2.31,,,,,,,,,,,,,,,,,
lexus gx 460,USD,N/A,"10,000","100,000",Medium,45,1.12,4.05,,,,,,,,,,,,,,,,,
auto sales,USD,N/A,"10,000","100,000",Medium,38,1.06,2.85,,,,,,,,,,,,,,,,,
jeeps for sale near me,USD,N/A,"10,000","100,000",High,68,0.69,5.98,,,,,,,,,,,,,,,,,
delorean for sale,USD,N/A,"10,000","100,000",High,97,0.34,1,,,,,,,,,,,,,,,,,
used tesla for sale,USD,N/A,"10,000","100,000",Medium,65,0.26,0.81,,,,,,,,,,,,,,,,,
ford near me,USD,N/A,"10,000","100,000",Medium,38,2.33,8.58,,,,,,,,,,,,,,,,,
dodge challenger for sale,USD,N/A,"10,000","100,000",High,90,0.87,4.76,,,,,,,,,,,,,,,,,
pontiac solstice,USD,N/A,"10,000","100,000",Low,16,0.3,0.56,,,,,,,,,,,,,,,,,
gtr for sale,USD,N/A,"10,000","100,000",High,77,0.2,1.12,,,,,,,,,,,,,,,,,
lamborghini for sale,USD,N/A,"10,000","100,000",High,100,0.22,1.15,,,,,,,,,,,,,,,,,
used bmw,USD,N/A,"10,000","100,000",High,70,1.58,7.5,,,,,,,,,,,,,,,,,
cadillac dealership,USD,N/A,"10,000","100,000",Medium,39,2.97,8.4,,,,,,,,,,,,,,,,,
bmw near me,USD,N/A,"10,000","100,000",Low,15,2.27,7.65,,,,,,,,,,,,,,,,,
nissan near me,USD,N/A,"10,000","100,000",Medium,40,3.01,7.89,,,,,,,,,,,,,,,,,
lexus gs 350,USD,N/A,"10,000","100,000",Low,33,1.21,6,,,,,,,,,,,,,,,,,
2015 nissan altima,USD,N/A,"10,000","100,000",Low,25,0.74,4.22,,,,,,,,,,,,,,,,,
audi dealership near me,USD,N/A,"10,000","100,000",Low,32,2.5,8.71,,,,,,,,,,,,,,,,,
2015 honda accord,USD,N/A,"10,000","100,000",Low,29,0.76,3.84,,,,,,,,,,,,,,,,,
equus car,USD,N/A,"10,000","100,000",Low,20,0.39,1.31,,,,,,,,,,,,,,,,,
lexus dealer near me,USD,N/A,"10,000","100,000",Low,29,2.86,9.85,,,,,,,,,,,,,,,,,
ford bronco for sale,USD,N/A,"10,000","100,000",High,95,0.3,2.24,,,,,,,,,,,,,,,,,
hyundai near me,USD,N/A,"10,000","100,000",Medium,36,1.55,6.9,,,,,,,,,,,,,,,,,
2012 honda accord,USD,N/A,"10,000","100,000",Low,16,0.37,3.36,,,,,,,,,,,,,,,,,
chrysler crossfire,USD,N/A,"10,000","100,000",Low,17,0.34,1.21,,,,,,,,,,,,,,,,,
acura dealer near me,USD,N/A,"10,000","100,000",Low,32,3.03,9.6,,,,,,,,,,,,,,,,,
bmw for sale,USD,N/A,"10,000","100,000",High,76,0.45,2.73,,,,,,,,,,,,,,,,,
honda civic for sale,USD,N/A,"10,000","100,000",High,82,0.71,7.13,,,,,,,,,,,,,,,,,
buick dealership,USD,N/A,"10,000","100,000",Medium,44,1.61,7,,,,,,,,,,,,,,,,,
cheap cars near me,USD,N/A,"10,000","100,000",High,73,0.94,3.79,,,,,,,,,,,,,,,,,
used honda civic,USD,N/A,"10,000","100,000",High,77,1.77,5,,,,,,,,,,,,,,,,,
chevy hhr,USD,N/A,"10,000","100,000",Low,6,0.34,3.48,,,,,,,,,,,,,,,,,
mustang gt for sale,USD,N/A,"10,000","100,000",High,74,0.43,2.24,,,,,,,,,,,,,,,,,
2017 toyota camry,USD,N/A,"10,000","100,000",Low,29,0.92,4.62,,,,,,,,,,,,,,,,,
used trucks for sale near me,USD,N/A,"10,000","100,000",High,89,1.16,3.47,,,,,,,,,,,,,,,,,
2014 honda accord,USD,N/A,"10,000","100,000",Low,21,0.52,3.5,,,,,,,,,,,,,,,,,
lexus rc 350,USD,N/A,"10,000","100,000",Low,27,1.09,3.5,,,,,,,,,,,,,,,,,
honda crv for sale,USD,N/A,"10,000","100,000",High,73,1.15,10,,,,,,,,,,,,,,,,,
cheap used cars,USD,N/A,"10,000","100,000",High,99,1.26,3.61,,,,,,,,,,,,,,,,,
bmw m3 for sale,USD,N/A,"10,000","100,000",Medium,42,0.31,1.52,,,,,,,,,,,,,,,,,
bmw convertible,USD,N/A,"10,000","100,000",Medium,42,0.67,4.81,,,,,,,,,,,,,,,,,
dodge demon for sale,USD,N/A,"10,000","100,000",High,87,0.39,3.76,,,,,,,,,,,,,,,,,
honda accord for sale,USD,N/A,"10,000","100,000",Medium,66,0.87,8.14,,,,,,,,,,,,,,,,,
buick lesabre,USD,N/A,"10,000","100,000",Low,6,0.46,5.62,,,,,,,,,,,,,,,,,
used jeeps for sale,USD,N/A,"10,000","100,000",High,100,0.66,3.5,,,,,,,,,,,,,,,,,
subaru near me,USD,N/A,"10,000","100,000",Medium,35,1.84,7.74,,,,,,,,,,,,,,,,,
2016 nissan altima,USD,N/A,"10,000","100,000",Low,28,1.02,4.73,,,,,,,,,,,,,,,,,
kia telluride for sale,USD,N/A,"10,000","100,000",Medium,55,0.58,5.52,,,,,,,,,,,,,,,,,
aston martin db9,USD,N/A,"10,000","100,000",Low,7,0.25,5.85,,,,,,,,,,,,,,,,,
old cars for sale,USD,N/A,"10,000","100,000",High,100,0.49,1.85,,,,,,,,,,,,,,,,,
volkswagen dealership near me,USD,N/A,"10,000","100,000",Medium,38,3.5,10.14,,,,,,,,,,,,,,,,,
2011 hyundai sonata,USD,N/A,"10,000","100,000",Low,17,0.52,4.85,,,,,,,,,,,,,,,,,
chrysler dealership near me,USD,N/A,"10,000","100,000",Medium,45,4.09,10.47,,,,,,,,,,,,,,,,,
kia near me,USD,N/A,"10,000","100,000",Medium,39,1.7,8,,,,,,,,,,,,,,,,,
nissan 350z for sale,USD,N/A,"10,000","100,000",High,89,0.33,2,,,,,,,,,,,,,,,,,
range rover for sale,USD,N/A,"10,000","100,000",High,82,0.51,3.43,,,,,,,,,,,,,,,,,
thunderbird car,USD,N/A,"10,000","100,000",Low,13,0.25,1.39,,,,,,,,,,,,,,,,,
chevy tahoe for sale,USD,N/A,"10,000","100,000",High,68,0.88,6,,,,,,,,,,,,,,,,,
subaru wrx for sale,USD,N/A,"10,000","100,000",Medium,61,0.41,4.58,,,,,,,,,,,,,,,,,
dodge charger 2018,USD,N/A,"10,000","100,000",Low,29,0.73,3.08,,,,,,,,,,,,,,,,,
ford mustang for sale,USD,N/A,"10,000","100,000",High,92,0.74,3.92,,,,,,,,,,,,,,,,,
2016 toyota camry,USD,N/A,"10,000","100,000",Low,27,0.71,3.81,,,,,,,,,,,,,,,,,
audi r8 for sale,USD,N/A,"10,000","100,000",High,74,0.33,1.23,,,,,,,,,,,,,,,,,
used cars for sale by owner,USD,N/A,"10,000","100,000",High,100,0.8,3.08,,,,,,,,,,,,,,,,,
used car dealer,USD,N/A,"10,000","100,000",Low,24,1.9,6.6,,,,,,,,,,,,,,,,,
2015 dodge charger,USD,N/A,"10,000","100,000",Low,30,0.54,1.7,,,,,,,,,,,,,,,,,
bmw 325i,USD,N/A,"10,000","100,000",Low,10,0.41,7.62,,,,,,,,,,,,,,,,,
ebay cars,USD,N/A,"10,000","100,000",High,72,0.56,1.89,,,,,,,,,,,,,,,,,
2012 toyota camry,USD,N/A,"10,000","100,000",Low,18,0.38,2.97,,,,,,,,,,,,,,,,,
bmw 650i,USD,N/A,"10,000","100,000",Medium,37,0.54,2.65,,,,,,,,,,,,,,,,,
pontiac grand prix,USD,N/A,"10,000","100,000",Low,5,0.34,0.75,,,,,,,,,,,,,,,,,
2017 nissan altima,USD,N/A,"10,000","100,000",Low,27,1,5,,,,,,,,,,,,,,,,,
volvo dealer near me,USD,N/A,"10,000","100,000",Low,33,1.87,7.62,,,,,,,,,,,,,,,,,
toyota camry for sale,USD,N/A,"10,000","100,000",High,74,2.01,10.91,,,,,,,,,,,,,,,,,
buy here pay here car lots,USD,N/A,"10,000","100,000",High,70,1.85,7.31,,,,,,,,,,,,,,,,,
used trucks near me,USD,N/A,"10,000","100,000",High,77,1.13,3.52,,,,,,,,,,,,,,,,,
pre owned cars,USD,N/A,"10,000","100,000",High,79,1.9,7.2,,,,,,,,,,,,,,,,,
mercedes benz dealer,USD,N/A,"10,000","100,000",Low,17,1.66,8,,,,,,,,,,,,,,,,,
infiniti fx35,USD,N/A,"10,000","100,000",Low,22,0.46,1.2,,,,,,,,,,,,,,,,,
ram dealer near me,USD,N/A,"10,000","100,000",Medium,52,5,12.6,,,,,,,,,,,,,,,,,
chevy ssr,USD,N/A,"10,000","100,000",Low,24,0.38,2.75,,,,,,,,,,,,,,,,,
used suv for sale,USD,N/A,"10,000","100,000",High,85,1.11,4.94,,,,,,,,,,,,,,,,,
2015 toyota camry,USD,N/A,"10,000","100,000",Low,23,0.48,3.08,,,,,,,,,,,,,,,,,
used subaru,USD,N/A,"10,000","100,000",Medium,60,0.7,4.07,,,,,,,,,,,,,,,,,
used car lots,USD,N/A,"10,000","100,000",Medium,49,1.86,5.03,,,,,,,,,,,,,,,,,
cheap cars for sale near me,USD,N/A,"10,000","100,000",High,82,0.97,3.49,,,,,,,,,,,,,,,,,
pontiac vibe,USD,N/A,"10,000","100,000",Low,5,0.34,0.7,,,,,,,,,,,,,,,,,
used range rover,USD,N/A,"10,000","100,000",High,73,0.64,2.5,,,,,,,,,,,,,,,,,
jeep wrangler price,USD,N/A,"10,000","100,000",High,100,2.22,6.3,,,,,,,,,,,,,,,,,
autotrader usa,USD,N/A,"10,000","100,000",Low,31,0.85,2.99,,,,,,,,,,,,,,,,,
toyota used cars,USD,N/A,"10,000","100,000",High,67,1.79,5,,,,,,,,,,,,,,,,,
350z for sale,USD,N/A,"10,000","100,000",High,77,0.26,0.94,,,,,,,,,,,,,,,,,
car city,USD,N/A,"10,000","100,000",Low,22,1.21,6.96,,,,,,,,,,,,,,,,,
used honda accord,USD,N/A,"10,000","100,000",High,72,1.87,5.68,,,,,,,,,,,,,,,,,
cadillac dealer near me,USD,N/A,"10,000","100,000",Medium,39,2.09,7.56,,,,,,,,,,,,,,,,,
vw dealer near me,USD,N/A,"10,000","100,000",Medium,40,3.61,10.04,,,,,,,,,,,,,,,,,
2014 toyota camry,USD,N/A,"10,000","100,000",Low,21,0.46,2.7,,,,,,,,,,,,,,,,,
monte carlo ss,USD,N/A,"10,000","100,000",High,88,0.54,1.9,,,,,,,,,,,,,,,,,
ram dealership,USD,N/A,"10,000","100,000",Medium,45,5,13.29,,,,,,,,,,,,,,,,,
car lots,USD,N/A,"10,000","100,000",Low,33,1.19,3.54,,,,,,,,,,,,,,,,,
porsche dealership,USD,N/A,"10,000","100,000",Low,13,1.61,7.37,,,,,,,,,,,,,,,,,
honda s2000 for sale,USD,N/A,"10,000","100,000",Medium,53,0.26,1.01,,,,,,,,,,,,,,,,,
used bmw for sale,USD,N/A,"10,000","100,000",High,87,1.16,6.12,,,,,,,,,,,,,,,,,
g37,USD,N/A,"10,000","100,000",Low,8,0.42,0.9,,,,,,,,,,,,,,,,,
used audi,USD,N/A,"10,000","100,000",Medium,57,1.11,5,,,,,,,,,,,,,,,,,
cadillac xlr,USD,N/A,"10,000","100,000",Low,25,0.34,3.32,,,,,,,,,,,,,,,,,
white jeep wrangler,USD,N/A,"10,000","100,000",High,84,1.19,4.82,,,,,,,,,,,,,,,,,
2014 dodge charger,USD,N/A,"10,000","100,000",Low,24,0.58,1.86,,,,,,,,,,,,,,,,,
porsche 911 for sale,USD,N/A,"10,000","100,000",High,85,0.43,3.08,,,,,,,,,,,,,,,,,
hyundai azera,USD,N/A,"10,000","100,000",Low,12,0.54,2.36,,,,,,,,,,,,,,,,,
freightliner dealer,USD,N/A,"10,000","100,000",Low,15,0.97,1.79,,,,,,,,,,,,,,,,,
mercedes dealer near me,USD,N/A,"10,000","100,000",Low,28,2.54,8,,,,,,,,,,,,,,,,,
2015 hyundai sonata,USD,N/A,"10,000","100,000",Low,22,1.02,4.5,,,,,,,,,,,,,,,,,
auto sales near me,USD,N/A,"10,000","100,000",Medium,42,1.62,5.38,,,,,,,,,,,,,,,,,
used jeep,USD,N/A,"10,000","100,000",High,89,0.68,3.54,,,,,,,,,,,,,,,,,
muscle cars for sale,USD,N/A,"10,000","100,000",High,89,0.18,1.59,,,,,,,,,,,,,,,,,
supra for sale,USD,N/A,"10,000","100,000",High,72,1.08,4.54,,,,,,,,,,,,,,,,,
bmw 135i,USD,N/A,"10,000","100,000",Low,11,0.37,2.3,,,,,,,,,,,,,,,,,
2010 toyota camry,USD,N/A,"10,000","100,000",Low,17,0.34,2.26,,,,,,,,,,,,,,,,,
jeep wrangler for sale near me,USD,N/A,"10,000","100,000",High,75,1.77,9.94,,,,,,,,,,,,,,,,,
bmw 750li,USD,N/A,"10,000","100,000",Low,26,0.65,8.26,,,,,,,,,,,,,,,,,
cars under 5000,USD,N/A,"10,000","100,000",Medium,62,0.69,3.05,,,,,,,,,,,,,,,,,
bmw 535i,USD,N/A,"10,000","100,000",Low,20,0.67,3.27,,,,,,,,,,,,,,,,,
motorworld,USD,N/A,"10,000","100,000",Low,5,0.82,2.34,,,,,,,,,,,,,,,,,
infiniti g35 coupe,USD,N/A,"10,000","100,000",Low,24,0.44,1.93,,,,,,,,,,,,,,,,,
honda crv used,USD,N/A,"10,000","100,000",High,76,2,5.75,,,,,,,,,,,,,,,,,
jeep rubicon for sale,USD,N/A,"10,000","100,000",High,100,0.5,3.36,,,,,,,,,,,,,,,,,
used mercedes,USD,N/A,"10,000","100,000",Medium,65,0.66,4.79,,,,,,,,,,,,,,,,,
2009 toyota camry,USD,N/A,"10,000","100,000",Low,22,0.33,2.28,,,,,,,,,,,,,,,,,
lexus ls 460,USD,N/A,"10,000","100,000",Low,24,0.36,1.64,,,,,,,,,,,,,,,,,
mustang convertible,USD,N/A,"10,000","100,000",High,83,0.5,1.26,,,,,,,,,,,,,,,,,
used toyota,USD,N/A,"10,000","100,000",Medium,62,1.12,4.25,,,,,,,,,,,,,,,,,
auto dealers near me,USD,N/A,"10,000","100,000",Medium,41,2.15,10.93,,,,,,,,,,,,,,,,,
2016 dodge charger,USD,N/A,"10,000","100,000",Low,28,0.7,2.64,,,,,,,,,,,,,,,,,
buick dealer near me,USD,N/A,"10,000","100,000",Medium,51,1.74,7.48,,,,,,,,,,,,,,,,,
bmw i8 for sale,USD,N/A,"10,000","100,000",High,72,0.31,1.23,,,,,,,,,,,,,,,,,
city auto,USD,N/A,"10,000","100,000",Low,8,0.9,5.92,,,,,,,,,,,,,,,,,
cars r us,USD,N/A,"10,000","100,000",Low,25,0.52,2.1,,,,,,,,,,,,,,,,,
used mercedes benz,USD,N/A,"10,000","100,000",High,72,1.05,4.99,,,,,,,,,,,,,,,,,
bmw 340i,USD,N/A,"10,000","100,000",Low,19,1.39,7.6,,,,,,,,,,,,,,,,,
honda used cars,USD,N/A,"10,000","100,000",Medium,66,1.84,4.7,,,,,,,,,,,,,,,,,
hellcat for sale,USD,N/A,"10,000","100,000",High,71,0.35,1.3,,,,,,,,,,,,,,,,,
deals on wheels,USD,N/A,"10,000","100,000",Low,26,0.94,3.5,,,,,,,,,,,,,,,,,
cars near me,USD,N/A,"10,000","100,000",Medium,53,1.25,4.06,,,,,,,,,,,,,,,,,
g wagon for sale,USD,N/A,"10,000","100,000",High,91,0.34,2.64,,,,,,,,,,,,,,,,,
chevy ss for sale,USD,N/A,"10,000","100,000",Low,29,0.48,3.9,,,,,,,,,,,,,,,,,
lincoln dealership near me,USD,N/A,"10,000","100,000",Medium,40,1.53,7.5,,,,,,,,,,,,,,,,,
craigslist cars for sale by owner,USD,N/A,"10,000","100,000",Low,21,0.39,1.84,,,,,,,,,,,,,,,,,
mitsubishi dealer near me,USD,N/A,"10,000","100,000",Low,25,1.89,7.81,,,,,,,,,,,,,,,,,
