Keyword,Currency,Avg. monthly searches,Min search volume,Max search volume,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019,Searches: May 2019,Searches: Jun 2019,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019
punjabi matrimony,USD,N/A,100,"1,000",Low,15,0.55,1.42,,,,,,,,,,,,,,,,,
free single dating sites,USD,N/A,"1,000","10,000",High,74,1.5,2.96,,,,,,,,,,,,,,,,,
christian singles events,USD,N/A,100,"1,000",High,71,1.21,2.7,,,,,,,,,,,,,,,,,
eharmony free weekend,USD,N/A,100,"1,000",Medium,38,0.72,4.6,,,,,,,,,,,,,,,,,
community matrimony,USD,N/A,100,"1,000",Low,1,,,,,,,,,,,,,,,,,,,
supertova,USD,N/A,100,"1,000",Low,2,0.89,2.15,,,,,,,,,,,,,,,,,
palkar matrimony,USD,N/A,100,"1,000",Low,0,,,,,,,,,,,,,,,,,,,
sites like pof,USD,N/A,100,"1,000",Medium,39,0.72,1.67,,,,,,,,,,,,,,,,,
deaf dating site,USD,N/A,100,"1,000",Medium,66,0.54,1.54,,,,,,,,,,,,,,,,,
interracialdatingcentral dating,USD,N/A,100,"1,000",Low,8,0.02,0.77,,,,,,,,,,,,,,,,,
no credit card hookup sites,USD,N/A,100,"1,000",High,95,0.87,1.74,,,,,,,,,,,,,,,,,
isna matrimonial,USD,N/A,100,"1,000",Low,7,1.24,1.71,,,,,,,,,,,,,,,,,
best free dating,USD,N/A,100,"1,000",Medium,61,1.04,3.51,,,,,,,,,,,,,,,,,
free russian personals,USD,N/A,100,"1,000",Low,14,3.3,5.61,,,,,,,,,,,,,,,,,
meet local singles your area free,USD,N/A,100,"1,000",High,88,1.12,1.92,,,,,,,,,,,,,,,,,
dating events,USD,N/A,100,"1,000",Medium,34,1.31,4.1,,,,,,,,,,,,,,,,,
older women seeking younger men,USD,N/A,100,"1,000",High,67,0.72,1.57,,,,,,,,,,,,,,,,,
free bbw dating sites,USD,N/A,100,"1,000",High,80,0.81,1.8,,,,,,,,,,,,,,,,,
free black dating sites,USD,N/A,100,"1,000",High,87,1.02,2.07,,,,,,,,,,,,,,,,,
free lesbian dating websites,USD,N/A,100,"1,000",High,84,0.98,2.6,,,,,,,,,,,,,,,,,
list of free dating sites,USD,N/A,100,"1,000",High,78,0.93,2.09,,,,,,,,,,,,,,,,,
mycheekydate,USD,N/A,100,"1,000",Low,0,1.78,5.55,,,,,,,,,,,,,,,,,
free cougar dating sites,USD,N/A,100,"1,000",High,72,0.82,1.89,,,,,,,,,,,,,,,,,
interracial dating website,USD,N/A,100,"1,000",Medium,61,0.86,2.67,,,,,,,,,,,,,,,,,
hispanic dating sites,USD,N/A,100,"1,000",High,82,1.58,5.71,,,,,,,,,,,,,,,,,
jain matrimony,USD,N/A,100,"1,000",Low,9,1.25,1.27,,,,,,,,,,,,,,,,,
black women seeking white men,USD,N/A,100,"1,000",High,73,0.46,1.82,,,,,,,,,,,,,,,,,
completely free dating sites no subscription,USD,N/A,100,"1,000",High,83,0.87,2.32,,,,,,,,,,,,,,,,,
younger women looking for older men,USD,N/A,100,"1,000",Medium,56,0.6,1.75,,,,,,,,,,,,,,,,,
pof free dating,USD,N/A,100,"1,000",Medium,34,0.58,2.07,,,,,,,,,,,,,,,,,
afroromance black and white dating,USD,N/A,100,"1,000",Low,29,0.56,1.24,,,,,,,,,,,,,,,,,
free cougar dating,USD,N/A,100,"1,000",Medium,66,0.64,1.56,,,,,,,,,,,,,,,,,
telugu bride,USD,N/A,100,"1,000",Low,1,,,,,,,,,,,,,,,,,,,
sangam matrimony,USD,N/A,100,"1,000",Low,3,0.91,1.66,,,,,,,,,,,,,,,,,
angelreturn dating site,USD,N/A,100,"1,000",Low,2,1.18,3,,,,,,,,,,,,,,,,,
shaadi matrimony,USD,N/A,100,"1,000",Low,19,1.78,10.89,,,,,,,,,,,,,,,,,
free gay dating sites for serious relationships,USD,N/A,100,"1,000",High,68,1.14,2.01,,,,,,,,,,,,,,,,,
free dating sites for plus size ladies,USD,N/A,100,"1,000",High,86,0.94,2.05,,,,,,,,,,,,,,,,,
best free online dating website,USD,N/A,100,"1,000",High,74,1.04,2.85,,,,,,,,,,,,,,,,,
new free dating site without any payment,USD,N/A,100,"1,000",High,67,1.2,3.5,,,,,,,,,,,,,,,,,
new free dating site,USD,N/A,100,"1,000",High,84,1.21,2.8,,,,,,,,,,,,,,,,,
completely free dating sites no hidden fees,USD,N/A,100,"1,000",Low,19,,,,,,,,,,,,,,,,,,,
free dating sites for serious relationships,USD,N/A,100,"1,000",Medium,55,1.23,3.62,,,,,,,,,,,,,,,,,
free military dating sites,USD,N/A,100,"1,000",High,70,0.9,2.84,,,,,,,,,,,,,,,,,
fast dating,USD,N/A,100,"1,000",Medium,46,0.57,2.37,,,,,,,,,,,,,,,,,
best disabled dating sites,USD,N/A,100,"1,000",Medium,65,0.6,2.12,,,,,,,,,,,,,,,,,
second shaadi,USD,N/A,100,"1,000",Low,7,0.54,0.7,,,,,,,,,,,,,,,,,
arab dating site,USD,N/A,100,"1,000",Medium,62,1.28,5,,,,,,,,,,,,,,,,,
free online dating website,USD,N/A,100,"1,000",High,85,1.62,3.33,,,,,,,,,,,,,,,,,
matrimonial websites,USD,N/A,100,"1,000",Medium,51,1.06,3.41,,,,,,,,,,,,,,,,,
goth dating site,USD,N/A,100,"1,000",Low,27,0.39,1.78,,,,,,,,,,,,,,,,,
connecting singles mobile,USD,N/A,100,"1,000",Low,3,0.85,2.03,,,,,,,,,,,,,,,,,
knanaya matrimony,USD,N/A,100,"1,000",Low,1,,,,,,,,,,,,,,,,,,,
meet locals free,USD,N/A,100,"1,000",High,84,0.75,1.94,,,,,,,,,,,,,,,,,
online speed dating,USD,N/A,100,"1,000",High,68,0.9,2.77,,,,,,,,,,,,,,,,,
totally free hookup sites no card,USD,N/A,100,"1,000",High,92,0.85,1.73,,,,,,,,,,,,,,,,,
tamil bride,USD,N/A,100,"1,000",Low,1,,,,,,,,,,,,,,,,,,,
meet girls online free,USD,N/A,100,"1,000",High,79,0.87,2.13,,,,,,,,,,,,,,,,,
free online dating chat,USD,N/A,100,"1,000",High,82,1.17,2.26,,,,,,,,,,,,,,,,,
free disabled dating sites,USD,N/A,100,"1,000",High,73,0.62,2.19,,,,,,,,,,,,,,,,,
nri matrimony,USD,N/A,100,"1,000",Low,25,0.57,1.84,,,,,,,,,,,,,,,,,
totally free dating,USD,N/A,100,"1,000",High,85,0.76,2.03,,,,,,,,,,,,,,,,,
pre dating speed dating,USD,N/A,100,"1,000",Low,22,0.77,2.87,,,,,,,,,,,,,,,,,
mingle2 registration,USD,N/A,100,"1,000",Low,6,0.45,1.38,,,,,,,,,,,,,,,,,
free dating chat rooms,USD,N/A,100,"1,000",High,77,0.84,1.9,,,,,,,,,,,,,,,,,
singles near me free,USD,N/A,100,"1,000",High,91,1.09,2.23,,,,,,,,,,,,,,,,,
rajput matrimony,USD,N/A,100,"1,000",Low,6,0.35,0.46,,,,,,,,,,,,,,,,,
free dating site no credit card,USD,N/A,100,"1,000",High,90,1.23,2.88,,,,,,,,,,,,,,,,,
100 free dating site in the world,USD,N/A,100,"1,000",High,69,1,2.63,,,,,,,,,,,,,,,,,
gay speed dating,USD,N/A,100,"1,000",Low,6,0.75,1.87,,,,,,,,,,,,,,,,,
imarriages,USD,N/A,100,"1,000",Low,13,0.41,0.66,,,,,,,,,,,,,,,,,
pilipinalove,USD,N/A,100,"1,000",Low,9,1.82,5.49,,,,,,,,,,,,,,,,,
interracial dating near me,USD,N/A,100,"1,000",High,80,0.57,1.96,,,,,,,,,,,,,,,,,
marriage beuro,USD,N/A,100,"1,000",Low,14,0.77,2.1,,,,,,,,,,,,,,,,,
free dating sites near me,USD,N/A,100,"1,000",High,94,1.14,2.41,,,,,,,,,,,,,,,,,
free username search dating sites,USD,N/A,100,"1,000",Medium,55,0.81,2.19,,,,,,,,,,,,,,,,,
bengali shaadi,USD,N/A,100,"1,000",Low,4,0.28,0.28,,,,,,,,,,,,,,,,,
totally free dating websites,USD,N/A,100,"1,000",High,90,0.89,2.62,,,,,,,,,,,,,,,,,
craigslist men looking for women,USD,N/A,100,"1,000",Low,17,0.24,1.2,,,,,,,,,,,,,,,,,
free senior dating,USD,N/A,100,"1,000",High,90,1.51,3.31,,,,,,,,,,,,,,,,,
rich women looking for men,USD,N/A,100,"1,000",Medium,57,0.21,1.7,,,,,,,,,,,,,,,,,
free millionaire dating sites,USD,N/A,100,"1,000",Medium,55,0.95,2.36,,,,,,,,,,,,,,,,,
free dating sites mingle2,USD,N/A,100,"1,000",Medium,47,0.74,2.1,,,,,,,,,,,,,,,,,
flirt chat rooms,USD,N/A,100,"1,000",Medium,46,0.56,1.67,,,,,,,,,,,,,,,,,
black women married to white men,USD,N/A,100,"1,000",Low,11,0.21,2.27,,,,,,,,,,,,,,,,,
completely free dating,USD,N/A,10,100,High,71,0.78,1.79,,,,,,,,,,,,,,,,,
mingle2 dating,USD,N/A,100,"1,000",Low,31,0.77,1.94,,,,,,,,,,,,,,,,,
chat with local singles,USD,N/A,100,"1,000",High,84,1.03,2.14,,,,,,,,,,,,,,,,,
single women looking for men,USD,N/A,100,"1,000",High,71,0.48,2.15,,,,,,,,,,,,,,,,,
lesbian speed dating,USD,N/A,100,"1,000",Low,18,0.89,1.98,,,,,,,,,,,,,,,,,
white women seeking black men,USD,N/A,100,"1,000",High,70,0.37,1.76,,,,,,,,,,,,,,,,,
christian speed dating,USD,N/A,100,"1,000",Medium,46,1.36,3.08,,,,,,,,,,,,,,,,,
black singles over 50,USD,N/A,100,"1,000",High,95,1.53,2.97,,,,,,,,,,,,,,,,,
tamil shaadi,USD,N/A,10,100,Low,6,0.28,0.28,,,,,,,,,,,,,,,,,
female looking for male craigslist,USD,N/A,100,"1,000",Medium,47,0.23,0.82,,,,,,,,,,,,,,,,,
free online personals,USD,N/A,100,"1,000",Medium,56,0.49,1.57,,,,,,,,,,,,,,,,,
women looking for older men,USD,N/A,100,"1,000",Medium,58,0.6,1.63,,,,,,,,,,,,,,,,,
lavalife chat line,USD,N/A,100,"1,000",Low,17,0.34,1.19,,,,,,,,,,,,,,,,,
black singles near me,USD,N/A,100,"1,000",High,86,0.83,1.76,,,,,,,,,,,,,,,,,
completely free online dating site,USD,N/A,100,"1,000",High,90,1.1,2.32,,,,,,,,,,,,,,,,,
singles mixers near me,USD,N/A,100,"1,000",Medium,48,1.12,2.6,,,,,,,,,,,,,,,,,
speed dating near me tonight,USD,N/A,100,"1,000",Medium,39,0.68,1.8,,,,,,,,,,,,,,,,,
zoosk free search,USD,N/A,100,"1,000",Medium,43,0.2,1.15,,,,,,,,,,,,,,,,,
black christian dating for free,USD,N/A,100,"1,000",Low,27,0.82,1.96,,,,,,,,,,,,,,,,,
interracial central dating site,USD,N/A,100,"1,000",Low,7,0.07,2.8,,,,,,,,,,,,,,,,,
muslim marriage website,USD,N/A,100,"1,000",High,67,1.26,4,,,,,,,,,,,,,,,,,
all free dating site,USD,N/A,100,"1,000",High,88,1.19,2.31,,,,,,,,,,,,,,,,,
free mature dating for over 50s singles,USD,N/A,100,"1,000",High,97,1.49,2.82,,,,,,,,,,,,,,,,,
free lesbian dating,USD,N/A,100,"1,000",High,86,0.84,2.09,,,,,,,,,,,,,,,,,
deepika matrimony,USD,N/A,100,"1,000",Low,0,,,,,,,,,,,,,,,,,,,
free local dating sites near me,USD,N/A,100,"1,000",High,90,1.01,2.29,,,,,,,,,,,,,,,,,
zoosk browse free,USD,N/A,100,"1,000",Low,26,0.1,1.05,,,,,,,,,,,,,,,,,
military singles chat rooms,USD,N/A,100,"1,000",Medium,65,0.61,2.13,,,,,,,,,,,,,,,,,
free widow dating site,USD,N/A,100,"1,000",High,96,0.98,3.1,,,,,,,,,,,,,,,,,
good free dating sites,USD,N/A,100,"1,000",High,75,1.46,3.53,,,,,,,,,,,,,,,,,
siasat matrimony,USD,N/A,10,100,Low,17,1.24,1.68,,,,,,,,,,,,,,,,,
free chinese dating sites,USD,N/A,100,"1,000",High,83,1.1,6.86,,,,,,,,,,,,,,,,,
free internet dating sites,USD,N/A,10,100,High,70,1.59,3.49,,,,,,,,,,,,,,,,,
datehookup dating site,USD,N/A,100,"1,000",High,97,0.76,2.37,,,,,,,,,,,,,,,,,
completely free dating websites,USD,N/A,100,"1,000",High,78,1.22,2.41,,,,,,,,,,,,,,,,,
completely free dating sites for single parents,USD,N/A,100,"1,000",High,81,1.59,3.36,,,,,,,,,,,,,,,,,
zoosk dating site free,USD,N/A,100,"1,000",Medium,56,0.69,2.05,,,,,,,,,,,,,,,,,
chat avenue dating,USD,N/A,100,"1,000",Low,0,,,,,,,,,,,,,,,,,,,
free hookup websites no credit card,USD,N/A,100,"1,000",High,90,1.09,2.33,,,,,,,,,,,,,,,,,
matchopolis,USD,N/A,100,"1,000",Low,6,0.69,6.19,,,,,,,,,,,,,,,,,
tinder dating site free,USD,N/A,100,"1,000",High,75,0.83,1.91,,,,,,,,,,,,,,,,,
free transgender dating,USD,N/A,100,"1,000",High,74,0.35,1.26,,,,,,,,,,,,,,,,,
singles events tonight,USD,N/A,100,"1,000",Low,26,0.83,2.75,,,,,,,,,,,,,,,,,
free dating site no payment,USD,N/A,100,"1,000",High,87,1.26,2.72,,,,,,,,,,,,,,,,,
free online chat site for singles,USD,N/A,100,"1,000",High,72,1.04,2.03,,,,,,,,,,,,,,,,,
free international dating,USD,N/A,100,"1,000",High,79,1.39,4.94,,,,,,,,,,,,,,,,,
free transgender dating sites,USD,N/A,100,"1,000",High,79,0.45,2.05,,,,,,,,,,,,,,,,,
speed dating near me over 50,USD,N/A,100,"1,000",High,81,1.42,3.32,,,,,,,,,,,,,,,,,
older women looking for men,USD,N/A,100,"1,000",Medium,60,0.58,1.7,,,,,,,,,,,,,,,,,
really free dating sites,USD,N/A,100,"1,000",High,88,1.35,3.06,,,,,,,,,,,,,,,,,
divorceematrimony,USD,N/A,10,100,Low,8,1.01,3.55,,,,,,,,,,,,,,,,,
bharat matrimony search bride,USD,N/A,10,100,Low,24,1.13,3.09,,,,,,,,,,,,,,,,,
dating sites free of charge,USD,N/A,100,"1,000",Low,24,0.98,2.67,,,,,,,,,,,,,,,,,
free christian dating sites with no hidden fees,USD,N/A,100,"1,000",Medium,63,1.13,3,,,,,,,,,,,,,,,,,
telugu shaadi,USD,N/A,10,100,Low,8,0.28,0.28,,,,,,,,,,,,,,,,,
best interracial dating site,USD,N/A,100,"1,000",Medium,62,1.41,4.18,,,,,,,,,,,,,,,,,
free hookup sites no credit card required,USD,N/A,100,"1,000",High,87,0.95,1.99,,,,,,,,,,,,,,,,,
anand maratha bride,USD,N/A,10,100,Low,0,,,,,,,,,,,,,,,,,,,
free gay dating chat rooms,USD,N/A,100,"1,000",High,81,0.78,1.51,,,,,,,,,,,,,,,,,
dating chat sites,USD,N/A,100,"1,000",High,79,0.98,2.15,,,,,,,,,,,,,,,,,
interracial gay dating,USD,N/A,100,"1,000",Medium,54,0.68,1.42,,,,,,,,,,,,,,,,,
find hidden profiles on dating sites free,USD,N/A,100,"1,000",High,72,1.27,4.31,,,,,,,,,,,,,,,,,
free black dating sites for singles,USD,N/A,100,"1,000",High,84,1.51,2.75,,,,,,,,,,,,,,,,,
chaithanya matrimony brides,USD,N/A,100,"1,000",Low,1,,,,,,,,,,,,,,,,,,,
truly free dating sites,USD,N/A,100,"1,000",High,86,1.09,2.21,,,,,,,,,,,,,,,,,
marriage matrimony,USD,N/A,10,100,Low,24,0.69,2.95,,,,,,,,,,,,,,,,,
